0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
24	195	82	424	310	369	473	310	5511	3708
79	28	33	224	378	357	27	480	931	1144
9	72	148	772	570	501	616	461	656	640
14	92	95	504	650	133	122	905	175	159
103	185	112	367	184	146	63	1065	172	1048
196	59	421	689	333	111	1847	59	690	606
2	65	407	819	600	444	767	583	1387	1013
53	72	298	30	46	713	383	112	767	111
15	46	282	19	321	568	353	155	251	85
68	14	167	128	512	205	689	330	390	944
37	170	325	58	143	249	608	521	15	744
48	9	236	446	41	84	567	812	1202	556
53	172	31	409	456	333	134	404	184	488
114	120	216	226	273	44	525	560	186	116
23	83	214	343	160	496	609	105	251	403
87	29	85	190	22	375	610	275	73	711
60	52	183	16	458	281	79	727	692	1196
85	3	629	328	355	128	392	80	281	399
65	21	489	519	594	181	535	461	333	440
12	38	336	402	109	225	282	613	740	481
24	1034	388	479	324	213	429	68	848	836
5	190	47	416	287	812	335	165	1675	813
93	31	41	161	161	561	75	64	767	330
52	35	289	113	574	607	149	744	233	63
75	26	504	61	24	310	607	1785	74	2065
12	171	81	35	436	253	1069	3371	958	1030
3	11	292	15	43	278	70	1057	274	733
16	310	189	321	27	365	298	670	355	543
33	205	181	69	393	183	127	340	1998	74
9	187	204	318	141	854	396	174	856	476
51	15	62	473	4607	399	657	613	1023	95
49	204	18	381	67	174	483	580	685	1280
61	62	34	53	158	349	586	750	477	66
116	117	8	121	350	333	60	695	801	215
80	153	222	75	248	284	469	78	546	1241
75	53	321	337	195	473	80	595	714	87
113	119	116	179	297	584	180	369	634	778
118	634	412	333	388	285	475	762	791	392
61	111	140	345	343	839	702	104	744	342
56	49	33	318	544	563	136	65	707	125
43	46	73	135	69	861	566	87	434	1007
80	32	220	924	74	185	885	250	753	670
288	39	255	274	120	132	348	668	852	187
9	56	367	25	611	103	1363	288	322	790
9	97	407	496	172	251	153	69	1189	608
8	49	475	467	494	120	49	332	779	583
7	102	175	339	242	471	406	103	506	223
4	111	347	386	54	5497	655	233	925	33
20	17	88	279	116	229	823	375	274	1757
33	237	119	34	327	409	333	753	222	494
30	169	116	264	320	581	545	986	889	665
190	129	281	407	521	45	50	615	896	1295
42	184	286	32	298	303	601	1997	402	901
33	339	535	176	558	187	379	391	394	158
183	24	219	240	497	157	1068	866	350	772
97	72	71	61	43	152	594	483	131	1397
72	12	216	228	160	84	177	1601	153	84
9	71	89	110	436	49	351	112	510	40
24	80	37	165	393	167	325	580	777	2995
8	38	272	304	409	268	74	799	641	834
183	237	17	16	627	246	632	885	143	760
49	25	271	42	294	618	203	387	955	1043
77	13	252	322	200	618	43	722	1356	564
111	71	206	565	31	62	205	602	930	349
39	114	395	243	283	65	676	39	92	922
48	166	323	77	212	162	296	335	473	879
191	17	113	451	46	1780	142	331	982	127
122	142	23	106	22	538	173	585	756	713
51	110	129	364	48	545	170	194	294	58
82	12	11	376	185	96	466	108	155	995
1363	39	143	347	163	341	230	628	436	379
93	45	206	91	1628	211	590	593	1509	197
13	74	166	220	35	504	60	566	107	244
44	29	83	399	70	680	401	134	355	696
159	390	317	242	256	203	944	648	202	62
12	111	212	888	2635	431	1116	156	571	96
8	78	440	551	320	919	542	1839	447	238
56	57	54	23	38	70	302	175	1458	772
143	74	30	118	436	579	62	374	82	696
8	99	75	68	577	153	1483	59	459	401
70	26	55	717	468	339	55	421	650	214
96	295	80	94	136	386	53	1579	224	668
93	75	39	1089	148	341	182	736	758	498
29	48	191	320	329	695	40	82	698	3630
15	90	33	277	690	743	352	323	737	1437
128	14	45	36	362	415	48	585	69	989
83	83	72	68	449	1507	684	339	333	1886
10	189	166	363	300	171	5922	144	1426	425
18	165	888	170	236	158	497	1034	2420	158
101	190	136	362	357	304	152	548	324	834
10	124	68	39	289	413	865	656	892	74
13	166	132	800	44	799	126	415	214	256
60	180	239	296	410	643	375	263	77	862
104	30	232	169	293	65	61	740	513	556
5	24	295	338	414	255	220	493	650	612
96	250	294	169	807	229	112	187	91	128
103	34	240	224	532	76	318	660	1198	276
11	167	278	71	415	531	203	547	726	88
87	196	608	156	325	561	384	90	84	393
36	82	49	137	39	183	455	672	638	79
69	96	140	620	81	412	1820	600	74	135
324	52	488	84	53	42	30	440	174	708
23	42	342	346	391	844	164	766	190	257
27	144	29	54	53	28	62	503	92	348
11	114	168	78	405	297	404	137	227	1010
1	60	266	179	164	404	586	527	590	238
36	170	308	318	77	46	313	94	134	366
3	219	64	214	305	103	462	249	459	1082
46	45	170	70	528	116	272	678	628	410
92	78	171	178	58	147	85	127	611	758
111	186	63	201	322	287	290	461	220	492
33	23	56	221	473	38	134	219	872	702
23	7	501	87	308	73	172	783	276	750
41	176	212	32	351	98	760	1213	652	1316
54	125	289	430	583	127	65	232	369	648
3	16	390	62	84	50	115	83	78	106
22	213	121	155	424	471	328	2322	261	255
72	208	274	359	129	317	1769	1734	1423	104
7	13	70	59	540	666	278	68	628	304
55	246	554	434	64	151	734	73	866	991
66	98	382	163	114	128	64	241	2312	877
141	14	185	233	336	56	107	86	390	412
6	123	76	662	74	99	58	574	706	289
101	18	98	93	163	442	51	224	41	64
76	45	194	88	30	591	201	94	910	226
6	136	84	52	224	736	747	551	245	3663
154	226	47	16	22	512	208	712	96	572
8	21	20	408	1919	531	98	679	1060	130
321	22	94	602	122	259	815	372	197	836
109	10	85	80	370	424	1171	59	964	2849
86	299	225	256	16	655	335	373	650	793
59	159	343	496	32	473	627	186	1805	463
41	87	194	65	430	566	1769	78	325	1207
59	83	590	296	691	141	546	75	426	362
159	205	78	373	52	730	1563	618	216	416
72	146	165	191	147	590	221	688	673	519
34	88	83	27	561	441	1038	156	568	100
85	31	280	350	220	92	651	290	91	536
22	64	69	101	959	584	476	1049	355	594
6	145	1062	73	69	215	176	832	668	1046
83	152	169	222	418	153	519	56	66	844
18	58	95	296	227	116	777	500	372	782
4	61	236	619	154	545	848	242	347	105
34	184	9	368	188	545	577	726	109	734
77	249	289	245	52	93	142	126	369	212
17	18	131	219	49	230	530	167	743	758
1204	19	19	386	482	487	524	791	560	987
120	99	278	30	390	848	68	419	363	348
28	533	279	52	41	72	1152	481	681	427
29	111	9	62	419	42	60	649	620	956
12	8	255	238	276	59	771	727	99	811
15	165	135	422	50	250	1099	309	73	198
52	580	10	258	31	490	725	697	119	793
33	159	169	169	88	518	67	540	84	199
19	343	138	166	119	60	759	188	446	193
12	64	630	341	131	141	37	654	60	640
82	69	377	327	103	209	512	190	793	771
20	10	374	112	148	769	460	424	2589	206
23	7	130	342	289	133	77	862	57	1286
84	258	125	522	391	152	526	1070	164	856
132	115	519	82	100	312	296	580	433	551
180	398	73	108	46	71	519	882	1359	400
57	299	117	344	880	70	336	577	523	436
76	108	80	176	458	3	19	1536	63	94
157	227	34	433	80	1694	323	1345	417	310
11	311	240	18	144	702	54	200	504	370
