1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
2	8	3	2	29	14	10	19	14	41
3	16	3	6	82	128	282	73	26	98
32	4	46	40	1014	1067	25	49	74	14
33	2	52	39	60	76	33	28	13	17
2	22	3	1	154	18	144	4	18	5
15	719	19	10	46	34	7	148	9	533
1	138	112	8	276	144	21	123	581	8
4	2	97	18	5	53	143	22	1564	19
4	31	43	4	33	45	18	114	129	36
2	4	137	46	6	5	9	329	16	107
1	3	396	33	18	7	237	22	474	385
1	13	89	216	6	23	11	7	10	18
11	22	3	17	2483	77	4	189	117	157
285	5	263	49	8	3	9	111	51	36
28	5	550	88	68	197	42	11	175	5
3	3	193	69	14	51	46	90	2	377
13	3	5	130	17	335	181	569	762	74
2	3	95	600	85	67	177	13	24	633
5	7	64	217	21	23	153	32	222	1
3	22	3	7	7	5	286	183	64	79
2	26	178	85	52	261	298	496	40	143
1	116	1235	176	176	136	29	79	45	49
2	4	31	11	38	8	59	432	122	88
5	36	191	45	8	200	268	184	7	275
1	14	9	14	105	17	21	68	430	652
1	14	1	123	93	56	124	49	228	73
1	42	81	19	656	16	23	142	11	413
1	32	144	178	8	53	28	167	446	25
70	47	53	128	20	158	30	191	225	82
5	19	2	29	17	133	12	40	49	28
4	28	165	155	198	310	17	17	167	26
1	4	2	370	8	21	206	12	7	96
1	3	463	5	36	170	7526	36	10	83
2	34	22	7	70	1	371	163	754	25
32	2	220	20	52	402	208	15	41	175
1	128	302	14	21	515	102	260	206	107
125	282	36	15	8	27	17	157	326	53
1	5	35	12	7	45	79	10058	385	31
37	2	265	6	20	228	548	322	26	10
1	11	18	158	6	56	1	197	10	12
2	2	6	11	91	274	3270	476	86	573
23	4	314	9	2	52	8	56	388	22
1	70	4	80	21	253	24	16	621	209
3	8	3	41	264	392	4	56	16	64
2	26	4	60	62	54	737	10	18	175
28	1	6	24	8	65	14	99	296	38
27	1	44	55	65	42	13	15	451	17
1	78	100	13	21	29	6	9	36	19
58	64	210	21	2	10	19	278	43	108
1	80	3	10	13	102	99	52	13	476
29	19	256	94	29	50	38	34	104	52
17	3	66	11	450	290	27	6	16	16
1	2	4	172	22	65	1817	37	22	55
1	2	38	242	16	19	54	10	7	74
12	5	2	46	50	42	111	575	18	58
159	92	1	14	198	12	61	9	22	56
1	3	2	1012	55	409	35	21	86	13
38	53	3	97	66	121	13	104	335	5
3	1	2	7	360	16	222	19	188	1794
2	174	83	111	14	36	8	338	135	180
1	4	67	46	7	152	7	518	33	24
4	59	510	199	120	172	97	165	89	215
1	192	16	11	9	81	7	56	176	17
3	2	3	9	977	11	70	829	83	76
3	21	1	501	101	32	266	194	228	341
242	1	4	133	24	51	1064	400	9	363
1	45	14	127	84	73	20	40	5	18
412	15	4	5	7	451	148	266	13	599
1	51	4	147	75	13	145	9	268	55
1	96	18	6	11	33	78	205	210	139
65	85	9	40	11	88	223	9	6	101
3	88	785	6	14	5	10	81	34	68
57	4	3	9	101	42	361	429	84	70
1	4	241	28	5	8	69	62	305	205
27	20	21	5	36	32	29	93	225	676
15	87	23	91	6	43	53	71	123	105
4	2	3	92	5	54	30	499	29	41
313	3	37	52	183	14	170	341	17	48
1	74	186	418	4	3	35	7	17	130
5	4	30	17	673	69	6	11	41	165
3	8	39	91	11	13	8	54	259	109
1	1	9	4	11	30	1470	72	6	82
16	162	31	6	6	46	16	33	29	16
4	5	4	356	290	55	442	73	481	62
3	4	3	122	532	59	20	19	50	236
3	4	57	186	35	9	35	218	75	49
44	31	11	44	189	102	249	127	129	18
2	15	157	8	27	422	108	28	160	45
28	53	14	1	106	16	188	73	28	87
3	6	2	8	2	17	72	38	14	60
18	68	900	7	37	47	38	89	4	525
1	3	13	66	41	537	136	611	41	34
1	357	4	7	2	52	79	346	285	117
90	3	1	4	23	9	14	22	36	25
2	59	3	135	65	9	26	243	153	24
3	10	4	8	16	117	59	189	74	9
1	2	14	22	134	12	49	13	43	187
5	8	5	7	397	14	68	18	87	17
2	55	124	73	9	14	4	68	473	7
20	8	2	41	12	83	102	396	82	48
1	8	7	2	4	26	27	30	144	22
24	3	64	9	13	34	96	16	96	883
1	14	7	42	9	25	5	3	44	175
5	2	7	11	16	22	150	25	16	18
1	2	3	49	558	12	114	46	61	399
3	288	12	192	100	8	16	9	16	14
