1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	3	3	198	8	6	25	170	27	16
1	45	7	195	126	4	16	52	12	199
7	10	41	5	49	31	7	5	38	74
6	4	5	22	12	327	42	9	16	5
51	26	87	5	5	2371	21	14	4	12
1	13	4	308	150	5	160	278	49	62
3	3	52	44	202	11	6	12	17	196
1	2	195	97	33	6	22	12	890	15
266	21	17	220	30	19	10	17	7	252
1	7	10	905	5	1382	121	7	17	73
26	41	166	234	54	1	29	231	23	46
1	1	1025	15	1	73	81	300	233	46
1	2	10	7	156	143	76	4	13	41
2	95	27	77	61	7	5	157	874	29
2	12	18	9	6	116	11	21	385	11
65	2	13	18	5	2	48	11	27	13
5	5	34	316	71	49	14	326	1359	53
9	2	61	113	271	5	122	568	96	877
1	65	77	66	249	14	189	265	366	772
1	243	4	92	10	35	22	16	14	16
97	2	8	24	71	11	237	92	207	7
274	3	6	9	10	12	63	14	202	52
3	5	19	8	1187	10	120	27	348	18
27	5	39	5	3	116	3	1	5	62
2	153	168	3	10	8	200	14	29	39
7	221	1	20	17	60	24	16	144	841
64	16	5	390	143	98	40	9	382	152
2	2	11	56	3	168	31	17	2	21
1	3	4	3	6	17	116	50	54	180
50	11	8	43	3	11	141	87	15	153
1	4	26	12	4	13	14	312	32	62
93	2	117	9	57	42	24	80	156	11
1	2	41	11	459	4	14	97	47	5
1	7	4	12	233	26	40	57	255	38
1	6	12	109	4	10	15	47	232	1170
10	1	3	8	4	6	11	23	20	25
13	3	7	9	439	13	88	30	353	100
143	5	74	7	98	4	31	15	80	157
2	97	18	24	29	15	8	6	235	9
119	1	3	3	4	11	7	39	49	14
2	21	15	4	6	58	99	6	18	47
3	390	5	28	12	12	16	2	3	15
15	2	4	19	13	434	12	381	8	362
221	3	177	322	8	2	16	72	658	93
2	2	64	33	111	34	109	74	16	24
2	2	6	3	27	72	21	160	62	138
2	485	13	11	45	74	288	980	4	421
1	1	39	5	12	278	234	54	57	10
1	34	418	3	38	28	9	27	1023	178
1	4	6	11	15	7	29	15	16	34
1	2	3	66	64	188	188	21	7	41
3	390	36	49	6	152	8	36	13	131
15	333	1800	114	15	2	7	27	38	485
1	13	59	110	12	964	110	18	10	9
2	1	8	523	19	238	33	20	57	1029
2	31	5	5	26	196	28	9	255	10
1	196	8	19	6	52	44	16	20	12
14	6	197	5	40	19	66	7	713	341
1	9	26	87	70	82	440	39	19	93
2	502	3	5	251	15	23	9	96	16
5	10	7	24	188	4	249	6	133	14
11	2	70	6	136	18	39	6	27	13
2	1	23	5	48	9	18	201	16	16
52	6	2	17	74	20	10	75	613	304
26	33	4	24	7	9	234	29	51	10
34	52	3	8	7	22	36	12	15	5
4	144	26	5	18	7	95	14	849	221
1	11	21	4	45	8	8	26	139	330
1	5	5	29	15	8	97	2197	315	6
7	5	17	134	8	18	9	522	11	16
1	137	10	78	127	7	18	10	27	25
1	3	6	25	2	26	18	208	17	257
6	4	1	10	8	13	8	43	186	30
2	1	112	4	3	649	36	14	19	37
1	2	41	25	165	5	15	501	117	13
29	3	12	2	7	972	91	11	18	541
1	408	6	19	67	123	43	219	309	105
3	1	91	28	22	7	349	84	49	402
2	6	78	106	17	13	11	189	50	2004
1	51	10	4	24	165	26	102	17	18
2	6	3	84	38	54	292	242	27	35
4	4	8	16	73	6	105	45	590	9
36	10	3	48	71	280	28	76	8	40
2	51	2	6	4	19	231	1582	10	3
1	103	3	36	48	16	575	83	51	955
1	21	501	3	12	22	12	295	20	58
33	6	12	33	71	6	7	23	23	20
1	97	13	573	14	163	51	282	523	33
81	40	580	9	245	14	261	4	33	16
1	12	5	7	22	5	77	75	102	20
2	2	164	820	258	8	604	19	184	81
3	69	10	110	94	16	22	3	2	166
1	3	60	298	37	285	377	73	24	31
1	30	10	7	9	10	42	29	80	11
4	2	17	13	36	5	18	13	18	21
2	84	1	6	6	43	6	360	303	29
9	82	107	4	11	677	77	57	46	17
4	9	2	6	220	25	65	15	19	50
1	2	46	12	261	14	136	5	81	31
33	2	6	91	16	11	31	11	80	60
1	6	17	104	37	6	16	200	428	209
1	177	181	214	8	49	22	115	585	118
4	7	14	31	8	9	8	108	13	113
1	61	3	123	96	41	6	205	25	24
249	2	4	98	8	26	7	13	98	18
1	23	56	48	5	24	12	41	14	182
1	35	14	24	7	192	20	11	17	45
1	59	17	3	33	3	275	13	650	27
2	2	357	249	14	22	17	5	378	30
5	91	22	6	6	7	45	18	19	505
3	230	3	3	1	65	282	49	127	58
1	16	2	8	87	15	78	160	20	4
1	73	10	55	54	123	7	20	25	535
12	49	843	5	52	29	89	27	14	27
1	9	16	50	20	47	76	25	8	171
2	181	7	3	402	33	256	19	12	211
1	5	88	200	239	127	140	29	5	127
196	2	4	332	24	41	4	174	86	20
47	2	7	402	100	17	183	29	125	402
1	4	260	38	429	9	97	201	25	73
1	43	126	19	106	5	529	29	12	81
1	4	6	7	194	18	42	262	87	62
7	11	9	11	3	37	20	3	19	291
1	11	4	14	70	4	23	14	331	762
1	2	9	8	89	184	444	15	34	92
1	3	6	18	147	2	18	13	73	38
1	2	6	66	3	402	4	35	47	84
5	2	121	184	174	31	86	4	12	167
81	82	3	5	129	9	85	39	90	69
149	2	115	74	8	114	91	72	195	287
73	3	61	29	55	110	17	30	33	26
1	3	8	7	36	6	8	10	27	30
1	37	31	75	8	3	4	696	1228	697
1	100	3	110	186	137	55	433	44	216
1	7	105	1	209	64	25	169	16	195
4	7	11	22	24	20	105	109	25	197
2	76	31	95	8	210	101	30	18	21
6	2	2	3	42	12	53	10	37	9
5	2	18	101	31	13	354	52	13	27
13	21	8	144	6	465	222	7	292	68
1	275	5	9	401	351	15	90	3	142
19	2	7	10	141	9	1	27	10	139
1	11	15	8	8	419	32	13	23	12
1	23	126	136	32	73	165	11	9	71
1	4	12	2	50	698	9	30	17	27
3	27	2	8	5	34	8	10	12	49
518	4	3	514	301	73	67	242	47	106
3	8	12	15	838	3	10	159	334	153
1	7	45	8	7	56	165	72	788	344
496	8	4	5	6	222	11	88	30	1042
45	197	3	11	21	44	15	2	7	91
1	274	189	93	8	32	5	19	10	15
44	12	18	40	12	9	12	12	34	4
1	81	2	9	4	105	31	97	247	26
6	1	1	7	17	33	5	32	21	22
1	6	16	342	429	311	15	68	18	332
3	16	179	182	5	72	9	13	325	20
273	4	3	46	17	121	43	12	13	16
18	1	4	608	4	117	337	67	15	46
2	104	2	4	4	4	18	34	895	17
3	23	71	4	8	14	4	250	5	27
1	2	31	5	147	7	929	26	182	38
1	18	10	75	186	89	7	108	11	1463
1	9	312	16	4	100	8	10	496	18
1	117	71	98	4	208	19	215	3	36
1	9	43	8	4	6	33	62	101	54
1	242	19	23	8	14	37	35	26	24
1	4	9	27	11	29	24	30	17	182
163	9	430	861	47	9	8	7	14	33
1	7	2	8	81	24	25	21	57	140
1	3	131	6	136	47	104	14	174	18
2	49	10	52	29	91	28	26	48	14
1	2	3	14	5	23	23	11	924	335
3	306	194	8	6	17	176	46	21	385
1	2	59	141	24	21	20	9	84	911
2	4	94	803	181	4	15	9	47	42
12	4	168	39	108	31	1726	705	291	94
2	4	12	22	8	11	33	10	119	84
5	4	208	64	24	9	218	282	47	9
3	8	46	79	32	11	854	6	145	917
2	1	3	19	29	13	133	59	11	8
10	61	3	145	10	50	5	272	210	212
1	193	117	3	31	79	5	9	330	16
1	23	60	11	140	9	2	2394	123	69
2	21	40	147	283	47	4	693	25	23
59	3	407	11	10	29	184	25	278	181
22	1	97	209	76	15	106	917	114	2061
1	2	47	9	6	34	113	29	33	52
1	2	15	11	218	43	708	15	38	54
19	311	7	205	161	124	12	8	179	12
63	95	6	294	135	11	110	142	13	19
2	331	91	6	89	480	20	111	435	20
1	101	3	29	210	16	429	310	169	7
1	1	16	72	201	6	19	749	13	25
1	8	122	80	30	4	9	61	38	101
111	29	4	4	98	7	9	37	83	17
1	2	89	7	248	7	48	336	323	176
2	105	10	3	15	1013	26	89	13	22
74	5	3	380	8	302	852	236	148	764
1	2	6	32	417	31	4	40	77	267
2	2	39	19	4	5	43	4	11	59
1	2	64	1	4	220	419	7	79	8
74	39	20	15	2	41	49	8	73	10
7	6	114	141	13	7	14	6	26	34
20	18	175	5	155	53	470	23	19	44
2	2	11	4	14	238	31	15	582	6
66	2	26	22	8	162	24	113	22	28
1	32	36	3	4	71	183	3	9	108
3	2	249	4	19	3108	41	78	41	25
3	5	12	26	14	19	165	116	64	303
2	2	8	3	82	51	50	10	21	8
2	126	12	69	18	3	24	16	80	56
1	127	9	32	36	118	23	25	114	2
55	5	236	156	76	29	10	112	6	39
8	74	30	237	1504	104	12	164	74	171
5	6	4	6	14	9	44	28	10	3
66	5	12	10	2	659	43	9	6	34
5	41	125	10	8	11	20	43	8	2
1	4	23	20	7	484	3	11	18	7
490	4	5	5	10	94	70	9	6	30
1	14	372	6	1	13	27	23	21	25
1	2	7	20	398	254	84	195	6	8
5	3	17	520	11	16	695	23	16	54
2	22	50	6	24	471	7	436	30	59
66	192	2	66	53	52	24	18	63	23
1	12	5	137	766	6	6	20	12	22
9	3	12	45	12	9	155	10	11	19
2	97	233	31	48	89	9	13	37	64
2	8	6	203	14	36	371	21	252	4
5	58	150	3	21	8	3	9	134	124
317	211	102	4	21	10	25	18	173	80
69	9	4	148	5	8	42	27	2	11
5	9	56	10	196	44	88	76	35	1427
2	42	623	227	973	33	87	27	402	13
2	5	16	6	3	41	32	63	226	16
6	1	1	6	322	8	92	10	15	11
1	3	4	39	338	14	6	22	155	221
10	11	11	27	1449	644	106	9	3	12
1	62	375	5	246	43	109	23	6	9
6	50	181	4	6	29	6	43	24	1073
1	54	21	5	5	23	68	25	55	251
1	7	10	3	6	11	1455	42	49	14
1	5	51	5	64	411	5	117	141	10
1	373	5	49	45	5	16	260	178	156
1	8	8	9	10	22	23	198	38	308
1	2	2	10	922	6	13	6	649	13
6	8	13	32	46	60	6	55	12	341
96	2	4	15	7	18	241	7	76	23
1	2	5	507	9	8	22	30	20	1
1	8	24	117	10	170	52	963	347	43
10	27	3	5	8	141	100	9	14	5
4	3	138	4	5	552	77	18	849	216
253	20	387	62	5	600	20	9	10	11
2	136	118	155	381	15	303	18	22	30
1	99	2	8	48	9	73	507	32	49
8	426	95	11	106	43	23	119	32	29
1	2	8	170	100	6	18	47	68	16
