0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
1163	2710	4058	3137	5628	3976	11837	4785	5448	7336
318	2577	3213	3252	3715	4302	10933	11209	7457	18719
1893	1778	2170	3955	10412	7873	5095	9719	5472	5883
694	3098	10878	3752	5600	7259	6086	3206	5410	8433
2755	3375	6203	3979	6294	2844	3321	6480	9936	12009
639	1368	3894	4967	5899	6624	5748	8440	26540	7129
5442	3756	2442	2607	6614	8493	5447	5305	5272	25301
883	2292	5053	5054	4831	7271	5573	4454	8826	10696
2110	1525	4008	4214	1994	8057	5934	6922	12983	3390
2414	1554	2215	4181	1663	12616	11912	7168	5748	10555
704	2182	4479	1824	7608	6963	7747	9383	7216	10604
1468	2432	3987	8403	4803	6885	5154	3812	9634	8726
3741	1441	3674	4709	5180	10264	3486	7102	8046	9951
850	2241	1446	7934	5671	7932	5739	7775	7548	7681
3249	3303	5150	3062	5018	8972	4402	4337	13172	6236
1814	3827	2648	5832	9415	2670	19855	6164	10177	11506
892	2435	2408	3062	5607	8552	12917	6598	10231	8974
1578	3564	5304	3649	3323	5323	20572	6212	4993	6480
535	1642	3279	1851	3549	8849	4652	9483	16134	5846
2351	1437	10389	2106	4543	4842	6039	2681	11349	11999
787	2380	3116	6173	2808	7221	7421	9226	10982	8197
1893	1532	3481	3471	6056	6190	5408	8075	3962	6180
2525	653	3138	4427	4133	8840	5770	6378	3499	9737
2227	3776	6093	2341	6600	5464	11399	11690	7138	12635
1336	979	1813	5446	4254	2983	10078	7312	11497	5204
4306	422	3971	3924	3704	10783	9101	5852	8128	10684
1374	3624	4360	2983	6211	7502	4893	10387	11195	6371
1155	1205	5533	6193	5828	2811	5117	7883	8182	6415
1216	1889	2869	9886	5667	14545	2977	8332	5288	8802
1821	2037	2100	2525	2427	4582	2869	7748	6975	13077
1487	3105	3708	3982	7233	9785	5899	3384	10328	27935
1286	4219	3375	2164	7117	2777	4748	3418	24849	4431
1915	1600	4953	5621	4462	4968	5579	5692	11060	7875
108	2642	2886	4880	17058	6244	8993	8888	5234	10493
1152	1235	2008	5273	5873	5110	9470	5914	11651	10751
1031	1733	4517	7510	2401	4491	4806	10054	7277	4432
1516	3844	209	2503	4108	7822	7785	11081	10200	12578
808	3086	3846	2511	4218	7152	5518	12173	13234	5625
694	1948	10219	5062	3098	4732	8066	6658	12475	7261
2591	2941	4148	10319	6020	2889	4278	26040	11881	7604
1423	1416	1079	3406	2201	8058	5129	2838	4691	8311
1325	2572	8895	7673	2472	2611	14900	3296	12213	7992
1976	1798	3397	5322	5854	4366	11717	5243	4013	7622
2095	1818	2197	2907	5080	4489	3185	5566	16783	12694
988	3050	5060	5658	5121	8400	17172	4327	6769	10705
1127	2077	3418	5699	4402	2732	9802	3295	11380	5574
557	3521	4251	4963	5310	7263	9006	5904	4727	9842
3158	1469	2142	5410	9788	7214	8936	4825	10638	4185
1557	3284	1981	5974	6127	7849	3154	5344	8854	7330
913	4997	6764	6380	5141	7401	6143	7262	12615	9142
1144	4012	3883	3482	3707	2740	8521	4910	9892	10085
1486	2548	2925	3022	2075	4153	9004	4936	8573	8736
346	1171	2777	5734	3210	6288	6803	7765	4424	11328
836	1107	3091	6171	5198	6426	6279	8418	11434	20352
1188	1441	3933	2515	1607	6613	4185	5875	6926	11777
1860	2610	3873	5054	8356	5834	10809	5980	9124	8968
1392	6077	3522	3903	10526	4275	3643	9403	11907	11056
2101	3487	1955	7556	5280	2821	6279	6676	10463	9092
837	1449	5030	4554	2452	5819	14272	7164	10533	8501
1345	3738	4090	2164	6384	4956	9075	4658	6603	7926
1180	1107	1959	5289	3081	5884	3999	6043	6939	6541
1111	938	3426	2575	3512	3961	5012	11067	9985	13857
3111	2794	4644	7527	2066	5306	7184	5475	7523	11860
2142	1727	2524	2678	3625	5332	9934	6943	5274	10574
1161	2701	6254	4329	3759	6143	7997	12896	8706	11229
1738	2246	3549	5439	7854	4942	6212	1379	6909	11529
1327	3388	10497	1632	6713	5599	5010	3241	22138	8554
1122	3373	4818	3627	2854	5572	3985	30306	7967	13960
1531	3264	4884	3691	4521	8015	4761	3899	7012	6689
2323	335	2614	8993	4774	2823	14066	7017	5202	11237
2034	4525	4463	4199	3097	3986	10744	3049	9206	8758
1032	1550	2615	3959	3602	6331	2818	6333	10527	9021
