0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
92	1317	2185	917	1597	1435	2992	5619	2754	15627
1345	2206	546	2504	1350	2964	3304	7138	7246	3871
98	959	701	2402	2867	1159	8292	2412	5693	3476
73	454	3639	2122	725	4823	1545	9889	20373	7576
1492	692	4846	2446	2953	5185	683	2493	6356	2754
398	1678	1290	1231	3049	2040	2167	4924	3793	5493
81	1711	2476	1874	10274	5453	4451	8034	7256	8305
1041	302	543	2165	3411	7498	2434	5390	3874	5458
962	1461	1457	2997	4111	1020	9184	8660	9406	1678
1367	1592	876	3363	4219	3645	2783	9490	7741	11847
716	784	1001	3135	3347	2821	3414	5071	3481	6546
134	1549	10198	1895	2812	3738	7733	2320	5015	7760
453	3857	1893	2823	3704	3871	1062	8306	2531	9865
18	674	894	3172	1300	1949	9785	2304	4986	4344
793	252	2490	2132	2023	2628	3372	7097	5751	17642
177	1818	1839	3933	13499	5477	5141	7782	7674	4912
658	457	1840	1757	2672	7898	3994	4372	3862	10298
1531	2672	512	218	3161	6839	1007	4520	8511	8098
3385	1097	3115	7905	3965	2665	26909	4879	8808	5160
1157	1873	980	6374	730	3711	5191	5854	3984	4652
722	3051	800	3185	3947	3126	4336	3983	5167	2790
892	190	2278	1519	1104	5174	4040	3137	3098	5080
478	1658	348	1479	5611	3665	4457	1986	10363	7907
506	852	633	6842	3391	6862	5406	5944	21441	13906
577	1909	1338	3248	2888	2038	4220	5230	6393	4653
732	437	1952	611	714	3681	4016	4955	5275	3130
1152	761	624	2669	4926	4685	5567	1999	11316	8608
150	2435	1356	1519	660	1315	1912	3477	7117	3854
340	1105	24	1953	803	1407	3440	4780	3092	2781
251	1461	1152	1310	393	5146	1912	4887	5762	12419
493	569	1425	2189	5464	2298	2758	3740	10484	9218
391	1302	3953	2832	2837	4843	3012	8148	5645	3760
3370	2456	1843	927	4317	3034	5661	4547	9104	7763
953	1846	1171	22	2846	3441	9262	11838	1928	5284
404	2856	706	2149	4161	2874	6640	3782	4217	5513
438	619	327	1554	1933	1312	6443	3072	7543	1837
404	1341	1704	2158	2131	4303	2333	3317	11157	5185
72	1394	1687	701	1621	1058	6820	7010	4495	6164
368	1271	1115	1821	6243	2976	643	3017	4377	5309
982	887	2236	1710	2390	5160	3134	2539	10266	4602
532	513	869	3147	5604	2648	3508	1869	662	8141
81	178	1190	2067	4649	4681	3896	5721	5692	8421
17	1858	2625	2891	4199	3079	9131	4467	3135	5075
680	911	3221	5023	4301	3594	3189	10763	19507	3901
153	516	1969	2352	4943	2260	1106	5187	5950	4842
204	710	6	1335	6557	3468	5200	1982	6089	4986
937	1076	4041	477	2318	4383	5263	1871	3101	9531
775	3135	12336	1430	2494	397	3057	2177	4137	22512
574	2531	1669	3329	3010	4498	9997	6149	16147	4218
485	1089	487	3625	3425	4453	6371	25435	2532	6576
165	66	1499	1188	2098	3992	1837	6496	6383	2724
74	138	458	2238	1178	4786	4840	2851	3144	3736
1067	1427	2802	2454	4163	3600	7928	4598	1692	9057
109	691	3488	520	743	2555	3734	4167	4046	7029
393	1729	2231	5480	7791	2191	5469	7004	7336	7455
3836	1996	624	713	2275	3801	3627	3915	1484	59
26	247	1110	2740	2201	4300	4550	5104	22174	6313
7	2830	3968	5053	3708	2076	2571	3320	7431	4400
436	914	1152	1872	2126	903	5224	2565	4664	6658
1194	900	4032	5077	39	2028	2111	3566	3897	3963
1130	1009	710	3484	4739	5607	2657	4949	2218	1833
650	19	1550	3558	1889	949	2587	5245	4987	2835
461	867	2599	1855	2987	1732	2984	5995	8757	23788
274	410	1258	3408	2838	3282	4956	5796	5437	5737
1633	1881	2364	2130	3776	718	6652	7419	3128	7559
117	612	4939	3814	5894	4070	1284	3346	2784	4087
359	2062	1835	2583	4865	2928	5542	3890	8294	3597
342	1995	379	1765	4463	3197	3320	4213	3253	2032
865	2013	937	1808	1109	2475	4125	7179	11777	11844
27	1972	2296	2554	2143	7425	3344	6499	5281	6170
268	1568	2311	2714	2664	3028	2802	1719	3578	10764
620	536	2225	1700	1104	5172	7750	1676	3096	11348
783	602	914	3835	2903	2352	2609	5925	15109	11085
786	802	2181	3026	4966	4008	2515	9491	8959	5513
1632	1186	489	1803	3268	2996	3721	2490	8674	5179
731	3603	558	1240	4076	4707	4905	6556	3046	6288
1441	1328	744	3203	2028	4868	151	2842	6961	5750
984	878	2318	1388	1537	1627	4732	3941	2814	8649
803	759	216	3912	2598	3961	2728	4388	4360	8020
757	876	1589	2760	1896	3327	1083	2702	5985	4708
255	503	2546	4036	1285	1624	1501	5742	5868	5145
222	460	2964	524	3450	900	7865	2759	5725	5254
873	1093	305	2446	2501	1864	10867	2391	6062	2937
309	1533	1369	2171	1507	4598	311	3509	11794	6106
742	1343	2658	1744	4397	2188	2372	53	8623	10168
124	873	1208	2903	3749	2533	5746	7865	4781	10166
762	1816	1902	14838	1727	1548	1278	4754	4991	2845
822	1405	1214	4530	2149	5418	7119	9265	9411	7709
125	1838	4060	2237	2793	2590	3390	5875	21209	5077
559	777	722	3512	3397	5674	907	19996	2446	5178
389	1157	1174	3011	4380	4284	3622	1490	2865	7750
530	497	65	1963	6361	5313	4059	4501	10728	8844
342	583	2276	2491	4528	3545	2618	2491	7864	5513
590	1865	653	1920	990	1825	5465	4890	8765	5027
449	2246	2051	2998	1156	14	5668	2914	6611	2287
736	1168	1314	1696	3701	19842	4396	3407	116	4614
34	1309	1399	926	4108	3572	11195	1285	6302	6268
549	692	1427	2566	2659	2367	7861	4769	2600	5944
737	2066	2686	2456	5672	2885	5658	11816	24521	5511
714	1479	313	1888	2596	3549	8135	8475	6356	2383
