0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
1	88	401	473	484	43	5	3568	142	18
3	2	622	211	274	365	855	9	1492	973
121	8	240	8	389	279	772	480	708	1020
168	36	145	113	492	0	102	874	902	166
14	143	271	331	38	674	328	201	590	603
69	254	461	39	330	1124	270	3274	154	955
9	487	9	531	40	990	537	437	588	1028
815	7	379	31	46	466	353	212	1556	6
1	181	508	32	305	277	1849	3	347	383
5	118	439	48	653	20	926	1056	339	501
7	144	273	786	506	123	640	39	1817	1096
361	5	31	3	325	482	516	43	457	1076
281	351	23	1	580	835	208	28	406	552
9	10	365	641	693	1462	1091	269	89	832
47	43	361	21	290	11	490	7	664	435
6	22	430	314	536	225	671	711	350	357
49	7	274	160	188	445	478	141	702	457
11	59	79	208	8	853	520	6	354	763
43	774	1115	128	489	1808	243	256	317	374
4	245	461	550	645	425	401	733	16	381
0	1	408	301	250	52	22	224	721	77
55	1	263	128	408	50	281	380	261	85
0	0	8	1953	870	244	624	1573	1288	953
103	5	232	1026	131	89	546	847	119	1096
7	285	0	12	186	343	147	168	58	115
6	684	91	128	307	611	863	644	77	1569
72	1050	820	697	675	303	26	456	620	322
110	683	1	559	375	481	656	615	1132	3508
3	448	15	51	308	152	568	938	808	436
2	728	218	75	63	349	69	2056	416	1458
1	37	132	189	564	142	142	158	1	4717
6	98	12	1003	468	141	2	729	273	1862
21	32	1	325	0	9	1076	53	3	481
148	1	367	366	741	980	242	44	100	1853
7	275	1320	3	2	2	361	379	830	1160
219	3	62	10	0	223	1722	309	636	876
168	223	27	468	314	603	380	497	784	1293
109	4	22	605	1303	1682	248	780	813	721
2	2	737	1450	151	414	2189	1212	1183	374
22	1	568	418	16	353	72	23	1441	514
132	310	22	16	607	181	360	714	897	598
384	48	9	421	24	383	350	231	259	694
2	160	288	60	25	602	410	342	69	17
6	11	300	629	427	568	71	222	1021	2316
13	406	25	55	448	811	973	6	222	8
1	7	75	11	430	1544	836	551	1179	1661
157	110	21	381	735	1140	1132	454	701	764
1	3	966	151	520	272	254	255	116	2234
1	1	343	59	1470	203	15	179	1015	294
2	301	653	175	1175	524	428	193	593	798
3	44	218	566	28	331	54	680	1809	493
11	0	60	60	390	4	167	221	396	533
605	54	22	451	59	250	188	154	386	1849
0	20	262	57	230	494	280	767	543	665
1	10	38	175	252	251	294	50	1505	499
24	361	22	394	227	601	996	986	277	237
114	20	288	396	804	429	6	2790	1002	776
328	451	7	414	657	15	196	1683	218	938
515	154	829	538	460	299	125	995	786	1170
555	438	4	168	106	399	238	84	477	1197
463	47	3	183	526	6	438	1434	939	604
11	277	87	473	181	1270	621	415	1713	747
1	218	20	905	722	13	724	556	808	894
0	575	582	262	46	55	189	390	8	653
122	488	5	43	318	369	6	385	724	157
1	1030	945	830	52	592	315	629	936	1179
150	18	10	26	1742	582	427	694	1130	989
7	0	30	401	498	410	655	740	1458	882
246	88	89	320	64	238	824	39	263	830
106	137	70	466	9	645	829	414	490	673
0	91	7	584	172	9	215	1	544	837
87	617	14	518	99	14	982	1143	478	1352
2	55	164	619	23	977	685	1312	2009	171
55	266	614	187	65	580	436	386	127	1674
0	6	34	1108	1488	1	16	73	732	1074
6	9	141	461	2	565	1123	461	874	135
261	296	60	160	568	172	526	587	412	845
287	109	3	283	56	1046	147	963	471	426
8	60	12	2061	238	55	656	64	709	781
170	0	22	866	216	1457	127	1041	580	242
9	17	16	435	1606	350	982	8	594	1289
5	15	23	542	1010	494	963	1428	1439	720
389	47	77	54	1700	843	159	673	854	537
283	551	397	255	219	242	1125	57	81	981
741	686	591	484	170	1034	15	135	9	707
1	1	209	605	125	2851	95	647	505	4227
56	29	691	620	36	232	864	331	525	56
79	148	514	19	201	961	93	608	303	1124
14	164	577	7	566	37	42	1192	1246	400
40	247	562	553	61	1134	55	1383	82	582
101	278	561	228	153	7	343	633	511	899
389	11	0	217	160	1069	10	1288	797	435
162	16	218	326	946	96	342	471	453	647
0	4	111	462	827	341	167	827	740	1091
0	99	373	36	1899	746	317	419	1141	888
1	1	186	325	162	466	877	12	898	281
8	260	432	4	861	581	704	5	4460	1905
2	616	0	877	247	712	930	717	24	661
1	169	529	294	1067	2505	731	18	1160	592
0	264	22	314	80	46	740	182	884	256
6	1682	238	353	286	32	1106	1251	478	782
123	287	414	30	779	428	532	894	520	387
33	209	1334	207	2469	0	309	1020	1227	93
245	166	21	27	186	965	460	528	513	92
2	23	593	278	109	92	752	2090	1169	705
0	20	11	261	481	797	305	592	268	581
1	112	508	74	262	59	368	250	1396	683
117	128	373	36	807	2701	271	853	843	474
