0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
427	81	468	327	1525	1100	691	744	79	2291
738	582	380	0	1492	630	1542	999	1749	842
311	477	296	977	817	739	900	784	463	1448
153	319	373	1397	1036	997	1383	234	954	589
319	634	410	397	662	470	654	858	1158	984
280	500	974	376	643	800	1643	1070	1143	314
272	190	390	697	236	1388	2783	936	1158	707
242	79	693	576	908	79	545	1265	2463	1741
839	589	657	875	257	874	1710	2574	1195	1014
76	370	505	236	1502	1121	1444	978	1614	1255
484	350	626	385	775	623	1271	3348	1095	1507
157	76	549	546	940	919	1201	1259	1152	2189
187	413	673	464	1042	722	542	915	810	1384
164	512	842	311	564	1629	1007	1803	1475	1719
442	713	250	387	436	982	685	274	708	2524
309	688	481	857	1232	953	1960	794	453	1228
439	965	1234	415	1813	1513	1952	2038	1267	2478
319	867	312	1329	1181	1472	1869	364	969	487
274	806	156	297	917	810	1315	1038	1282	2666
224	390	933	1338	607	312	880	1763	1790	1838
442	1722	542	448	613	592	158	1585	1900	1194
2271	648	448	318	1149	788	1272	1722	1425	1352
365	253	159	1005	477	1232	235	1007	1907	1385
410	774	599	745	1392	833	758	1056	900	845
574	317	252	388	222	156	705	443	1127	1026
418	888	237	464	709	1083	507	1677	992	616
239	385	2206	426	1397	861	2735	1606	387	160
444	625	729	1419	642	1267	0	159	1283	2464
81	158	615	1863	885	1142	1036	1000	2258	1850
377	995	811	876	826	1163	1188	689	746	772
914	548	234	974	1060	1262	311	712	861	622
320	470	689	647	415	1167	709	2030	683	2493
573	923	168	881	1055	398	388	1369	1060	947
165	350	1316	817	1417	2015	1657	1377	2495	1476
186	763	233	78	1002	626	379	737	1416	2157
242	560	991	1091	1278	1462	1196	1217	2550	3307
623	347	801	907	1695	1028	2133	797	688	1809
503	285	80	930	1726	1169	917	2426	1076	407
797	281	745	714	748	1545	1141	1145	5898	1479
348	170	687	362	879	1352	1120	4078	390	3175
391	522	407	587	667	628	1135	817	1118	474
166	88	1181	692	748	2665	457	1223	1124	3753
425	714	905	480	698	1091	1477	822	2071	1240
514	833	339	240	1826	579	1154	792	1664	1328
950	158	542	1307	1058	654	1320	1432	484	800
370	295	815	746	600	1610	561	542	1819	528
192	151	1034	447	888	626	1292	1183	1338	854
119	837	394	847	1706	2004	1308	461	1025	1569
0	519	625	709	1731	189	819	1409	1314	763
333	423	444	241	933	308	806	548	3243	2451
308	902	595	865	1034	1694	3285	933	383	393
341	254	722	310	541	3807	2188	1169	727	2967
0	366	690	1086	536	1026	1661	2823	541	1548
449	476	276	258	406	1847	2947	563	467	880
202	473	0	389	413	1049	1258	3523	1567	905
184	530	324	819	316	278	767	2205	1023	1538
153	407	710	327	402	1260	1074	1505	2808	1159
79	314	385	508	1300	1131	726	1734	2096	701
390	524	242	380	407	556	1257	232	2083	2107
75	843	1320	945	1341	860	921	737	941	615
527	917	408	819	543	577	747	998	739	3675
78	1462	384	1278	1193	623	2061	1639	5079	1046
77	172	604	928	521	1262	780	3180	1838	408
261	520	727	628	730	453	1560	248	2130	2358
495	366	429	3491	1857	393	404	1957	1818	2419
259	318	318	250	746	1146	1091	1051	1284	1361
690	328	535	734	862	82	1093	1249	1386	687
279	299	651	159	1306	1147	156	892	2448	1286
88	2823	1034	77	365	983	931	906	759	988
337	247	523	641	1080	408	236	911	984	569
423	154	724	1199	1256	758	789	1141	1671	2950
426	384	352	464	371	621	1003	277	1206	235
81	491	1923	1365	877	614	462	1004	649	1168
567	165	353	923	726	750	382	1496	714	2668
407	274	499	308	1350	784	674	920	164	1218
364	545	758	510	552	1160	325	1600	1311	1397
334	207	367	528	1615	662	943	1245	799	1340
163	424	694	1098	387	592	3323	430	1422	852
81	151	851	919	1209	1085	158	1890	2724	891
174	83	610	780	764	1523	622	1841	1056	1385
210	573	1147	401	685	1445	2256	881	1057	2287
337	556	401	78	1928	695	760	698	727	801
336	786	158	546	1785	959	540	764	1412	1071
231	784	649	305	729	946	2472	1479	1547	1935
246	453	459	556	921	1116	1281	482	1053	2275
0	461	484	3028	815	1306	2093	730	1382	450
701	475	468	989	1075	359	1922	855	596	408
379	366	406	788	600	609	78	1616	1067	1814
528	441	775	960	791	408	320	1889	499	1512
202	1084	327	769	784	609	956	1173	1247	899
245	393	527	334	1443	431	925	2207	1431	1487
531	1026	1141	464	3595	1716	1235	1451	1163	713
886	412	453	592	1292	1076	1559	769	734	1760
485	161	354	822	795	681	1311	800	862	1379
477	388	870	671	673	1102	1865	359	1000	1516
157	153	995	596	1085	324	1074	391	1758	1135
465	362	633	800	913	660	1158	1325	734	1486
168	335	155	367	585	1482	829	2501	698	988
571	905	774	797	461	1040	1128	1220	2647	1296
586	707	565	1518	244	1305	393	1384	1650	483
264	179	961	1238	850	1408	620	245	337	995
168	151	555	794	866	367	1046	933	1319	1437
253	668	312	903	1343	773	2234	1018	1886	2286
133	349	586	271	2511	791	1117	1313	1412	2181
78	989	173	560	1327	1302	2407	1140	308	747
518	767	1020	624	444	1577	1450	1157	1374	2659
408	450	619	718	792	1284	908	1240	1802	477
78	362	363	1088	1473	1132	1140	935	2109	933
1032	1398	1121	486	745	1097	507	3114	993	794
223	1142	792	794	1072	1106	3058	510	1866	560
209	495	330	1595	450	314	869	748	954	1285
259	1767	405	1486	1117	2442	1159	1013	726	2533
510	504	670	157	1269	1133	766	2948	2056	1889
235	546	636	1014	674	2425	1696	452	403	1662
231	213	1034	2692	1755	632	1258	398	3433	3301
77	157	335	883	884	829	1364	7758	2892	1570
647	396	1067	2039	1771	3034	278	1958	1186	1356
833	580	1184	78	1281	1544	2760	799	1586	503
593	653	327	239	198	699	981	858	1861	1866
630	218	493	996	150	1412	1394	895	304	634
79	371	334	345	1098	674	882	482	1846	2574
158	334	321	508	938	658	1447	626	1367	1362
429	744	716	2828	173	326	773	768	2130	2112
730	598	1102	397	759	960	1360	607	1670	1236
366	2319	365	1045	965	551	686	822	612	623
187	420	928	385	1278	1240	1981	310	1267	1450
335	401	421	1104	1039	732	973	2509	678	1667
85	264	401	924	330	828	505	1937	1132	1406
637	360	2115	886	798	1655	1528	1025	1580	1195
200	317	1259	214	1234	1324	256	1086	1064	687
407	582	712	483	793	1167	2502	1059	7365	940
132	735	198	0	417	325	926	546	75	1350
210	497	0	309	720	1193	1520	611	459	1151
588	663	440	242	816	1011	950	1628	897	960
661	312	919	156	803	922	1126	992	868	868
673	446	410	160	825	219	879	1521	1686	1669
186	300	154	942	1676	990	1375	1932	2150	4024
559	356	598	708	1376	1198	534	1292	1427	2233
635	497	669	174	764	739	753	664	660	1261
244	157	1245	1010	626	723	1389	1497	931	3372
289	492	601	1021	168	620	1593	1087	1018	858
518	666	0	716	779	1401	455	431	1831	1871
262	871	0	1007	782	608	764	1742	742	1465
77	922	1294	806	713	1439	5280	812	386	1540
426	500	543	1208	594	609	218	397	1838	466
373	186	387	872	1954	1465	1097	1759	2077	572
504	311	774	1156	638	1181	543	909	976	538
311	603	1054	385	155	847	1434	2029	1109	584
88	166	812	620	1303	1526	829	1160	455	160
107	80	625	719	1289	953	1235	2237	278	1519
378	706	431	1123	1474	815	1116	4455	1007	774
216	998	521	244	1977	893	914	1834	2416	995
759	357	531	716	556	1122	1801	1299	381	1129
1306	229	620	240	1504	1427	2164	722	2414	1380
430	274	973	1706	84	447	1069	2038	1634	1446
123	670	1011	157	473	1810	1771	799	3800	2946
150	379	1256	682	507	1010	1588	446	1418	2065
742	186	1017	765	684	804	1919	375	770	3183
486	698	317	1375	779	1458	1305	1249	2232	687
819	633	234	803	386	905	324	763	917	985
240	498	546	1150	996	1141	997	731	1207	2382
441	722	77	1067	968	3176	1168	2544	2931	961
487	740	456	944	1742	951	803	1148	1957	1116
1156	241	925	464	865	234	747	414	2009	1115
539	608	530	988	467	1454	1392	1551	1655	246
238	1038	353	1308	342	2147	2330	2072	1913	5899
173	536	1137	1429	809	813	1030	1496	477	1080
462	941	1266	1157	1223	1025	799	822	1794	6785
619	416	793	820	312	929	1220	940	1011	591
1113	81	631	501	865	1339	781	1572	4725	1122
521	606	2292	703	463	1433	460	452	1373	330
959	742	565	1084	810	961	482	1857	1471	446
0	77	867	242	79	1606	444	2477	2162	1920
283	875	470	705	597	577	1206	658	2055	2018
499	257	465	1278	162	1796	1386	160	1544	2482
251	423	387	1453	527	1492	1505	868	1120	1363
372	596	732	832	752	825	1012	1081	1779	1391
754	0	533	732	1860	960	1927	1352	1325	1065
356	645	653	667	1355	939	1074	638	79	696
279	92	340	967	1306	365	738	1807	829	1651
155	1259	986	986	677	958	1317	810	734	2269
84	0	807	551	1831	698	848	628	2046	1880
280	91	628	234	946	935	160	933	1327	1910
80	236	1437	1251	0	629	1977	603	3480	1197
80	78	500	377	1180	463	831	929	695	3129
383	463	595	1243	232	1384	1329	1564	887	1586
304	487	313	1175	827	1436	235	363	446	788
98	379	501	686	541	1272	560	1011	367	1134
152	349	319	233	1868	674	694	1048	1394	1499
453	350	654	236	964	957	320	1149	702	900
451	1198	2097	504	886	2283	871	1214	1881	718
155	485	543	551	1268	1568	1676	707	988	409
255	540	1007	75	310	758	1487	1114	884	1022
609	344	250	1833	1857	778	806	320	1796	3193
364	411	394	1112	542	1392	4803	797	3018	1134
782	678	534	308	710	911	869	1448	2238	367
87	542	712	741	1134	1172	830	745	1613	1219
259	926	276	1051	643	1167	316	1201	3032	1554
218	288	1819	454	414	471	618	1021	2915	833
0	268	651	927	233	895	1156	955	1101	1270
469	239	902	710	844	1585	738	1524	2613	88
376	479	683	650	443	165	154	773	1937	834
279	1129	622	433	647	795	1400	1101	1541	1798
341	168	707	165	646	750	1333	247	898	624
275	461	256	738	486	1543	234	850	1199	2971
211	159	690	235	1055	556	2496	849	1271	1360
157	181	79	3126	1408	966	534	1556	618	1404
932	289	910	655	461	1002	1204	831	408	322
298	513	587	241	2696	165	1097	1553	1347	1477
242	843	696	1944	559	2381	990	1119	910	1289
457	668	857	1044	630	748	801	1093	1078	612
953	646	2103	881	794	685	702	1420	857	1700
306	389	257	1074	622	1619	1416	951	1132	1433
0	1203	731	662	951	1818	847	1306	727	2870
309	412	492	750	1108	862	960	1978	1329	1960
761	605	1614	242	672	1776	738	922	2198	758
79	158	937	308	908	1940	4433	5938	550	528
490	1490	695	695	1013	569	1499	1406	1501	1534
586	427	339	1051	313	905	1103	910	976	737
519	1168	893	235	1106	499	1947	1954	1132	1477
614	539	679	885	918	378	1457	981	523	1903
497	227	491	881	810	762	2035	1277	931	1410
355	284	614	855	666	1490	405	315	1435	1564
490	649	599	618	794	1464	807	1389	868	1317
664	1408	159	721	542	1462	885	398	525	706
364	160	440	652	393	647	1490	1416	2213	1352
77	332	648	1034	1088	672	1865	393	632	767
636	155	81	1647	517	556	553	1275	256	1434
238	421	234	796	691	438	1056	393	3591	420
303	510	1269	903	627	1235	237	1529	718	1932
343	233	489	664	578	866	976	925	2841	3629
278	1017	291	486	469	1672	1080	2048	1180	1353
297	603	382	529	163	496	1400	1234	1694	1063
335	628	699	214	1838	495	621	701	830	1437
317	277	480	562	483	1962	1619	1917	538	3024
531	236	894	691	475	1588	699	555	1520	332
613	849	801	686	154	1973	1060	884	958	3096
234	358	676	1039	293	1127	811	1643	1768	2515
99	509	0	246	4662	1231	671	954	1484	735
548	369	282	807	1067	1351	1051	1685	981	1756
329	229	934	454	620	963	290	699	565	1671
779	311	522	332	1290	1265	532	940	1336	1578
77	925	627	2103	874	661	1442	332	899	1296
515	821	789	574	2090	919	1466	1634	1801	1443
312	479	1050	1158	587	1150	1876	940	864	1897
165	583	576	570	620	79	1029	1628	520	3071
874	318	757	1048	477	2155	1131	1137	866	1674
0	752	526	952	1685	2061	1242	761	548	1357
530	1077	1401	549	428	1065	548	774	1772	851
646	433	1602	655	798	1467	658	1503	1432	620
78	1649	443	781	865	75	963	2397	667	996
1050	523	643	426	723	1068	2357	1572	485	1150
132	175	805	1002	1090	648	1090	690	1691	2727
320	240	686	275	230	501	1092	819	1152	1253
647	95	410	628	320	1212	730	1312	738	847
182	485	759	1097	1247	1810	1626	2001	1380	1021
184	699	198	1252	560	404	953	553	332	958
312	346	1410	799	614	1521	1101	1012	1289	1722
78	499	198	717	234	1097	975	2504	1039	1318
254	709	412	369	1144	424	1154	1062	549	1291
354	554	387	797	742	905	1549	1917	701	1085
266	264	1557	1003	888	354	232	1465	1666	1508
744	190	0	103	1186	858	1652	745	969	900
368	236	610	366	409	1053	1560	729	1428	870
246	302	805	1144	213	1272	708	1268	633	1715
249	869	1090	159	1325	1657	955	995	1996	972
491	405	512	717	1017	897	461	1645	1643	3501
168	237	82	303	595	232	1082	2706	1119	1103
503	132	290	312	318	1294	446	1214	825	875
266	527	703	683	4181	810	1775	882	1277	1673
366	239	886	1248	819	854	545	1398	1440	1740
549	885	486	680	537	534	915	1284	1701	313
707	562	471	770	912	1301	938	1687	1568	795
341	901	758	734	265	1891	1411	2533	557	937
266	1140	1119	312	286	1987	1066	1259	2267	2338
159	371	706	568	696	784	1563	1761	621	608
386	253	869	739	833	3216	235	256	2286	1974
427	351	993	563	835	712	395	714	717	899
359	417	616	329	771	2427	1463	845	1416	1103
77	234	432	1044	712	1092	1435	3157	1255	2050
370	605	381	159	1340	1439	2374	1521	969	2392
544	1116	169	603	2038	755	1538	692	306	1645
81	156	666	874	772	974	995	1653	1128	712
432	797	1472	633	835	873	701	871	667	1097
168	392	575	342	388	398	968	1612	1533	2162
884	226	1065	890	357	909	915	807	1821	958
624	582	997	805	647	494	2777	771	2076	413
84	792	250	536	1037	594	1378	1562	1561	1218
242	287	464	0	963	608	1559	1439	860	2276
248	488	855	340	1659	606	2080	1026	1332	1240
732	667	1360	1057	918	618	172	5192	745	1670
1288	547	84	683	387	1060	1474	832	1143	1395
329	811	822	516	982	2694	804	815	155	1280
226	612	161	1099	722	837	1039	989	1457	1311
234	507	593	585	672	572	1312	945	3138	1851
341	1579	166	314	883	668	276	1215	1953	2008
82	510	694	772	478	1869	2518	944	692	847
88	314	604	713	1160	451	1421	625	899	2192
83	441	346	480	901	767	962	2123	325	1207
311	567	230	0	1309	1249	1183	886	1036	1379
383	577	1099	170	381	583	991	762	1181	1439
159	0	256	305	916	497	1803	3006	836	2022
349	2721	79	1385	1331	719	818	843	1071	1345
609	494	839	786	621	796	683	865	1009	1124
323	245	598	654	466	1172	1066	239	3299	2016
576	155	642	247	917	1396	1718	596	367	2674
406	279	300	1802	389	1971	926	860	855	311
242	763	307	533	306	600	993	1418	718	1602
231	379	364	1952	1543	2229	296	2959	975	1193
82	279	512	1411	2241	3060	2015	997	1250	743
