0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
5219	800	6691	5968	5146	3071	7164	6369	8735	11733
1954	2996	4947	1462	1323	3239	4163	7345	16839	5916
1461	5024	8204	2434	2777	6383	14492	8808	5925	11940
916	1242	1566	1756	5230	10329	7194	8998	11283	10990
1715	736	2098	5564	6341	6572	7455	3207	5634	12471
2139	1612	1781	4895	4791	5588	8781	7480	11865	9285
1085	7364	1712	5764	4275	4682	3745	5686	11454	5757
437	3933	2325	4305	14263	5452	8099	9558	3305	9448
2048	3439	1484	3139	5709	3176	7701	8099	10043	14515
1209	2074	2917	2284	4196	2959	8020	5054	5792	605
1491	626	3427	5453	5492	7358	6759	4226	7974	8924
1231	2421	4063	6433	7975	4833	5326	5753	9525	3814
961	3323	3249	5715	4445	5053	3461	18689	7839	8389
1497	1293	1481	3435	7851	6887	3016	8571	12152	14166
745	5159	1386	3064	4528	5864	4449	8577	5019	5771
1110	1158	1355	3938	6121	6132	2679	8235	5178	12154
1914	2277	1533	5291	2396	2768	8083	6331	8971	11447
320	1726	1404	3142	4820	7239	4615	5646	3130	8019
1668	1321	1195	4802	6285	8236	6026	3974	11305	7570
1843	2270	2151	9655	3318	2094	2548	16378	4836	8595
1073	2377	2385	5441	4905	4271	8150	5569	7112	7770
2980	1747	5209	3720	6487	5204	5245	11213	5218	27808
1408	2002	5611	1524	3878	3261	2629	10407	8835	3838
2131	1066	2920	3636	5983	1303	7016	6115	10318	12804
1069	1023	3071	4575	1780	4797	3609	7279	8163	8823
1527	3599	1093	2518	5704	4736	9490	9992	6097	9000
1363	2972	3687	4900	4305	4519	4788	4586	15342	2410
1187	2879	3047	3721	3469	7509	3839	4712	5494	13010
1212	1477	1906	5129	5951	4333	8968	11626	10014	4695
1562	2167	4818	3544	20066	6881	7452	12968	9884	12311
1921	1488	2707	1334	3438	6247	6208	7666	9787	7607
2223	3053	4979	6184	1863	2964	8146	6009	5455	8791
1354	2173	1686	4037	4502	4207	3356	5478	8078	3426
1059	2447	2774	2961	5272	5618	7631	8407	6064	3351
2027	1046	3347	2906	2070	5063	3885	10535	8980	7144
1270	1206	4074	6380	4234	9158	6966	6365	6420	4116
868	3484	2162	3216	5872	7468	5669	10231	11832	4944
2409	2923	534	5823	10523	3679	13731	13555	8152	9342
1438	1231	1924	4732	3039	5036	15368	3264	6859	5980
2178	2815	2461	3109	2723	3646	2671	7509	8552	3796
979	2037	2793	5035	3762	2737	5587	9999	19332	7088
2023	1283	13214	4317	3232	7827	8644	33401	4202	10175
1156	3185	1978	2893	4567	4286	4901	6501	8715	3096
2514	4532	3491	3572	6585	4836	5869	7607	6895	5425
1845	3300	739	2903	5626	5742	7563	3839	7824	12257
1227	1012	4121	2554	5215	4570	6080	5631	9735	13877
883	2690	2585	6932	3893	5398	9553	9889	3562	10951
