1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
1	44	2	8	30	53	7	98	35	33
11	2	16	119	11	183	175	8	825	13
1	148	294	98	4	484	19	30	1200	17
4	24	45	529	7	719	23	50	20	26
5	74	4	7	753	56	342	15	36	14
57	528	5	257	936	47	15	22	69	44
1	158	44	6	108	14	39	26	7	92
1	12	5	8	140	10	28	49	1165	111
1	2	2	21	241	54	50	150	100	117
10	62	50	19	21	15	128	309	186	25
72	86	3	47	71	22	34	91	138	6
1	19	5	85	272	6	28	15	24	116
19	4	4	5	87	690	69	15	41	286
1	16	77	5	42	8	503	55	28	433
34	99	13	10	111	150	17	7	27	238
23	57	31	5	200	819	16	50	142	76
2	10	629	96	16	84	21	1201	5	14
1	11	42	41	79	92	91	122	20	438
1	11	2	33	302	13	18	138	47	107
5	106	29	27	6	278	235	144	37	367
220	58	3	62	140	81	1218	59	16	28
1	2	21	38	309	565	12	17	39	119
32	2	3	16	122	11	19	4	255	22
1	19	3	16	7	56	13	9	16	83
1	78	206	14	1	10	45	151	85	44
3	25	3	9	3	6	110	47	54	484
2	7	5	101	134	22	134	31	12	9
1	4	26	23	7	111	135	414	61	22
9	3	9	10	8	47	17	126	71	63
3	6	50	586	13	12	13	24	14	28
4	43	108	7	10	1171	53	231	195	32
2	143	2	100	45	123	8	223	77	18
56	2	57	5	238	12	56	13	22	154
1	64	284	423	1	142	16	8	495	11
3	67	18	5	6	203	69	305	296	11
1	5	7	69	1149	46	23	60	357	192
2	2	8	26	7	45	9	54	14	242
50	8	418	12	28	51	92	114	20	43
48	439	4	55	12	16	13	198	58	24
30	2	10	4	43	149	446	12	20	9
9	152	59	3	42	126	20	671	84	132
2	2	36	283	627	26	245	140	20	353
4	75	203	14	411	9	5	123	22	709
149	19	27	2	15	14	15	57	676	15
23	9	77	190	69	22	5	137	245	620
14	97	32	64	4	37	20	14	37	8
1	7	4	62	2	24	41	95	30	760
43	1	7	11	147	14	163	172	33	56
1	19	32	6	75	181	168	224	31	410
1	2	7	50	116	378	506	5	14	158
2	73	59	27	32	981	29	493	4312	38
1	47	166	246	145	14	160	119	116	145
1	2	40	54	67	75	53	169	7	1978
3	58	146	218	7	39	91	37	95	17
2	3	52	2	239	182	7	169	1	183
130	6	244	236	108	22	116	1359	313	717
6	4	10	130	54	7	21	6	47	392
2	12	59	7	8	86	47	1	554	939
3	4	2	35	80	77	21	67	16	54
1	48	3	17	12	45	31	67	156	86
1	9	177	11	360	5	94	43	90	131
1	58	8	42	19	242	20	52	23	23
7	10	222	19	8	34	40	58	20	183
18	145	7	23	90	359	40	21	117	2
2	6	16	5	127	19	368	39	18	958
1	49	109	37	20	45	17	149	106	247
1	4	10	10	70	44	11	58	28	12
2	6	44	283	8	204	31	6	30	85
43	81	5	5	24	10	11	303	78	22
8	15	158	126	50	26	34	25	214	11
3	3	10	36	1	224	93	7	1087	5
2	8	3	10	51	73	1267	275	54	214
30	6	189	12	115	8	108	380	136	23
5	2	64	150	21	6	69	135	155	42
1	9	52	23	20	28	7	91	8639	258
60	3	2	4	55	71	43	8624	9	81
368	7	92	7	14	16	17	202	101	102
4	8	45	15	372	13	331	19	31	75
61	106	7	12	1064	17	10	8	14	25
154	3	360	21	90	362	217	125	16	499
6	1	19	55	12	121	25	24	107	12
79	140	2	93	15	78	7	17	449	70
3	5	8	104	21	121	7	50	52	333
1	4	167	39	21	6	6	8	41	1
2	12	8	16	229	131	8	13	27	563
2	2	14	4	249	12	152	9	13	62
3	4	174	6	28	40	539	20	6	184
1	302	78	20	440	154	7	73	987	22
1	5	34	89	3	12	133	154	168	149
62	43	4	24	172	236	49	19	18	117
1	6	212	20	24	29	74	34	135	78
24	3	4	3	16	9	18	83	16	85
2	3	105	113	8	376	19	76	7	276
9	5	56	712	1180	27	13	16	33	45
6	34	7	8	37	9	3	22	67	117
1	116	31	195	8	18	143	31	203	185
18	20	27	2	802	6	3	164	31	99
8	8	3	489	8	129	127	14	25	397
1	25	9	3	7	118	19	33	8	54
1	270	4	7	14	204	498	19	106	102
1	2	142	159	535	147	139	5	24	503
45	2	3	6	7	119	172	57	20	4
12	87	26	11	841	39	9	9	4	252
1	183	3	33	80	78	140	270	14	49
2	40	3	39	240	7	26	253	1365	63
1	5	4	133	5	22	367	5741	17	24
2	2	112	156	15	45	8	208	25	49
39	38	25	12	150	136	35	187	18	591
1	4	82	5	323	111	26	57	91	459
27	108	186	47	8	28	21	83	20	47
1	3	5	112	6	42	7	47	47	184
7	268	8	68	11	18	16	721	47	115
42	9	4	9	53	491	55	295	82	47
1	59	54	10	62	67	2	46	14	18
112	8	4	23	14	102	80	6	40	11
220	342	3	56	3	30	374	57	35	6
103	2	1157	27	83	34	60	9	619	7
1	21	5	21	15	9	22	67	103	44
1	4	9	97	59	9	14	15	24	351
1	614	2	21	116	63	20	15	18	8
1	8	5	2	11	39	25	7	638	30
21	723	6	6	93	81	56	430	124	621
23	3	3	220	100	152	43	41	21	214
1	2	14	9	36	136	11	41	24	63
1	119	3	11	47	23	863	130	20	36
35	1	36	215	10	21	257	7	8	48
1	58	30	5	68	9	24	15	51	22
1	278	13	21	67	8	7	20	41	18
25	3	5	8	158	8	117	630	2	275
6	9	90	25	11	10	13	113	133	1244
400	2	5	81	9	9	4	9	134	27
1	4	30	156	167	5	751	10	18	308
4	70	398	95	461	21	643	276	29	25
27	52	7	286	50	9	4	11	68	334
2	31	12	68	72	23	160	52	24	13
3	19	132	8	127	37	72	34	10	17
13	86	2	106	92	150	13	28	22	104
1	297	4	14	4	167	45	10	9	353
1	2	5	12	122	33	81	73	10	19
77	246	194	2	86	91	221	5	252	213
3	2	37	247	13	60	23	91	115	238
1	11	3	4	27	339	9	27	105	71
8	5	7	463	143	9	7	127	90	47
3	2	3	5	12	74	263	172	13	441
1	4	13	40	12	195	17	18	81	17
1	37	6	130	5	2	62	257	230	15
1	5	6	15	54	24	160	35	156	13
3	213	27	304	256	18	195	708	159	121
31	9	27	10	7	174	211	107	16	233
2	6	3	22	14	311	15	1299	27	28
42	1	10	229	60	20	7	22	139	87
1	108	58	108	65	12	348	14	27	49
37	3	2	55	9	38	40	165	135	640
1	8	10	5	22	41	431	7	75	4
1	38	100	84	173	6	97	42	372	14
1	4	10	30	5	9	100	403	303	466
1	6	75	4	10	143	106	746	14	19
2	3	9	144	13	341	10	501	289	367
1	69	1	4	8	3	132	20	579	104
8	44	71	309	65	1032	17	8	10	214
1	29	7	58	29	20	123	6	474	605
1	1	32	21	24	57	10	43	16	14
22	6	41	257	329	9	26	17	4	96
184	273	6	146	2132	378	9	265	18	112
1	1	5	4	19	208	33	8	112	95
32	3	10	7	52	36	77	6	10	128
3	2	5	203	7	19	26	13	39	16
3	2	4	4	307	6	290	9	18	22
116	182	2	8	82	139	114	6	80	19
214	2	8	6	3	136	119	29	68	896
3	3	7	240	175	16	1	438	126	18
10	4	70	83	93	18	19	222	22	370
15	80	45	16	11	14	16	173	47	47
2	32	4	226	462	61	257	144	288	45
