0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
7	644	6	5	422	6	568	388	966	319
4	301	107	32	282	24	896	1167	586	396
0	18	19	328	583	464	946	354	2726	1063
1	2	253	203	1159	131	101	981	3348	18
2	368	4	406	702	339	4	65	60	1129
5	13	259	350	39	953	155	427	689	1504
1	151	398	266	21	3	698	2064	464	644
15	10	291	28	292	27	25	16	134	455
7	250	307	23	768	208	1132	190	767	573
1	2	23	18	841	486	135	732	1970	1423
344	2	198	1179	589	526	484	298	690	280
2	35	14	380	191	90	492	355	811	379
8	98	214	728	0	569	1170	73	495	3557
2	198	289	184	31	420	174	912	371	1374
0	0	0	6	48	1208	244	403	710	967
0	3	102	509	104	3	5	1110	359	806
30	417	12	4	281	51	8	69	9	329
95	96	39	268	706	123	639	275	711	6
11	29	177	1582	136	145	232	826	410	335
7	3	41	214	519	1217	253	798	806	104
1	1	19	21	589	2227	4	758	440	642
294	77	41	114	381	2216	416	37	327	92
95	185	1442	516	530	384	389	345	233	901
2	785	523	6	870	31	1329	531	643	1103
3	215	24	92	578	286	251	35	419	730
114	245	11	5	186	1043	191	168	590	522
4	530	80	2	194	288	52	1432	2091	550
0	3	4	51	53	608	46	735	827	2657
3	31	11	453	667	15	500	272	6	751
8	104	45	0	612	511	666	206	710	445
0	590	14	1342	963	360	1284	416	2	811
54	4	22	43	308	136	1	763	762	793
6	55	22	1	1527	809	107	1512	620	544
160	77	275	317	394	2	382	733	8	379
2	10	19	405	357	174	32	1123	660	1904
68	170	72	379	293	491	191	134	171	1066
0	285	3	773	678	4	831	445	1337	1021
107	942	265	393	10	1485	517	467	553	815
121	1	2	5	10	37	28	804	172	15
96	3	63	23	731	1012	201	95	424	264
58	246	11	1809	542	547	911	644	687	414
1	205	98	90	436	2	43	1613	174	1138
169	5	4	10	354	399	766	923	89	624
255	11	2	42	1577	4	42	903	132	360
4	42	6	3	28	264	1003	511	577	1294
34	2	5	9	25	278	427	2	668	0
0	116	13	220	55	7	1327	655	319	2
2	4	20	452	413	38	148	910	74	523
3	0	0	596	587	209	440	267	1337	163
0	2	324	22	39	449	1	384	1021	1641
231	3	8	1	781	693	378	1116	542	644
38	2	3	358	27	375	18	181	520	422
321	230	273	14	548	55	720	134	2463	409
3	375	214	279	417	758	30	552	710	1188
2	146	15	3	24	143	1712	262	1208	1526
0	91	222	32	0	7	690	12	537	2569
304	204	147	477	380	728	360	5	1896	606
148	0	467	139	46	2	475	246	1402	1021
44	250	12	305	32	880	585	627	785	1535
5	6	1	376	592	422	417	407	6	1134
269	14	2	318	1526	3	811	2695	887	1084
52	118	98	23	695	7	1351	377	1	634
278	22	195	248	161	662	1178	569	395	78
7	288	438	210	707	383	868	702	229	3154
96	359	20	2	259	884	502	607	5	943
195	204	3	7	3	256	602	472	385	510
270	157	264	610	102	456	149	956	15	137
1	17	188	38	290	486	84	445	822	5
0	0	743	768	300	282	50	820	1093	397
233	2	3	9	245	548	289	106	156	293
87	1	73	262	1288	1068	369	33	1345	1357
11	290	524	4	50	314	298	29	814	1303
1	175	495	3	48	21	533	101	1021	329
2	96	199	448	177	345	476	110	349	533
86	267	162	3	312	127	561	429	102	886
162	245	376	36	6	30	948	340	390	5
39	31	908	402	189	111	360	298	222	3
15	0	765	209	513	816	269	570	578	771
5	833	2	3	181	68	834	428	65	581
316	0	371	8	1317	0	195	446	948	246
152	160	55	1378	218	270	1	34	622	456
50	304	473	1	473	617	202	1035	547	970
8	1	333	431	259	358	219	34	1488	1463
2	289	5	153	84	182	283	182	802	1277
4	116	118	690	243	524	44	673	305	528
152	107	734	32	595	370	798	85	4	1080
3	260	123	503	69	632	268	432	824	1068
78	368	10	827	543	2	158	31	58	442
17	461	16	52	8	328	1254	490	85	3435
15	338	32	825	532	681	362	515	1084	76
6	154	15	163	147	243	16	381	500	411
12	72	68	24	8	641	581	395	24	1179
3	14	76	830	15	447	102	131	539	1110
1	2	1	24	140	98	1396	3756	757	1095
3	248	161	416	61	18	390	533	957	1073
0	106	608	206	18	67	355	1279	33	760
53	5	659	1530	461	277	126	146	2381	1882
1	180	7	27	34	205	39	508	710	652
81	133	1514	0	25	33	218	180	501	655
15	202	9	294	567	19	799	914	1619	985
1	0	6	308	1375	114	107	2726	172	451
5	150	145	3	189	870	333	691	1084	257
116	274	45	367	169	513	26	593	1358	3
99	105	6	295	562	338	880	318	7	104
75	155	9	39	46	1370	260	616	277	499
0	270	31	634	219	99	373	381	249	2493
0	7	113	348	90	50	565	3918	386	1799
12	336	11	293	467	814	16	412	80	2926
4	2	9	7	2157	9	1017	6	750	758
30	1	2	20	346	826	404	728	412	89
237	171	522	262	191	360	421	2709	1399	1271
0	236	76	283	21	1063	192	655	103	178
222	57	305	594	436	685	8	841	978	177
14	1	327	0	395	1312	569	77	1564	780
77	25	34	169	509	236	32	278	1314	131
11	140	228	18	319	5	548	505	352	76
0	98	219	4	365	717	321	970	458	496
0	679	238	311	1173	348	37	411	293	918
10	3	224	26	279	408	1193	885	513	404
1	220	293	1172	228	5	361	361	2553	1147
254	0	81	13	28	102	1101	688	203	226
10	15	177	100	337	57	454	801	7	1228
256	7	2	366	126	142	8	2057	562	0
0	287	14	0	28	235	789	54	586	492
0	422	544	46	718	243	664	411	484	283
1	64	352	569	212	361	271	355	339	2134
182	116	229	62	635	772	613	1532	420	246
136	468	2164	199	726	449	1459	1494	484	1324
1	7	454	779	189	315	679	62	219	1050
0	506	343	4	265	156	93	157	263	1209
2	150	1	3	480	40	956	112	956	969
10	2	255	40	385	481	50	514	247	788
78	28	46	77	121	380	422	2	74	473
133	335	426	441	1093	285	66	73	593	700
102	4	23	947	17	754	526	1060	2	46
49	11	50	1178	11	5	337	8	551	1133
1	0	313	536	103	953	17	6	652	385
3	168	25	24	335	564	241	378	984	627
8	126	14	27	133	602	4004	1009	426	255
146	0	229	269	672	72	238	486	4	154
5	335	26	543	52	276	825	489	1296	1144
201	447	7	168	327	70	142	42	422	73
0	329	2	21	631	65	274	1312	10	476
320	1470	22	656	1	0	730	669	307	193
0	0	16	174	3	549	216	206	1035	595
144	29	79	5	179	2	63	548	887	299
72	8	402	484	1	434	345	150	180	645
8	25	649	19	459	460	2	6	355	138
95	81	25	668	28	398	55	17	368	676
2	221	548	226	300	6	0	134	7	741
2	14	573	1281	432	1673	4	1561	413	3
4	111	537	421	5	599	6	200	726	274
9	43	1	412	269	261	657	584	1037	29
3	12	14	649	59	252	172	65	3830	466
43	57	13	226	320	1389	552	261	392	223
3	165	1	346	312	574	774	68	354	822
347	2	218	108	472	2	419	645	551	6
5	15	18	101	126	537	267	428	552	183
9	14	598	428	28	1054	94	6	432	11
8	17	381	1527	34	62	898	1047	573	199
4	17	632	249	1265	1465	169	18	54	977
96	272	10	28	483	627	513	82	1101	629
0	319	72	91	832	39	455	635	857	3
1	148	323	35	144	881	1074	10	31	259
2	11	0	581	351	322	157	893	860	492
2	2	184	199	654	294	221	1419	1395	336
1	49	0	2	45	535	766	733	469	14
