1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
142	106	107	355	209	0	212	323	167	0
285	116	307	0	173	112	227	414	409	318
288	300	258	247	267	102	344	438	360	214
292	101	268	210	101	274	235	357	386	318
104	0	177	127	187	340	0	117	219	501
411	110	143	527	208	402	615	413	468	533
414	104	225	244	218	306	551	1052	465	665
117	220	102	381	160	233	550	141	102	0
0	111	170	252	211	113	443	543	113	423
127	182	427	128	346	488	113	211	473	327
242	138	0	456	465	560	446	283	484	241
114	265	323	395	754	235	644	446	234	922
262	105	127	104	509	408	106	362	106	307
117	167	105	204	200	248	342	656	273	371
217	266	227	251	128	501	217	330	300	480
223	335	314	102	544	395	354	681	347	265
284	101	122	368	539	617	436	0	269	385
0	0	477	507	104	119	224	243	745	224
0	480	321	802	602	145	179	109	346	355
104	126	0	186	210	323	0	381	608	365
116	233	111	102	406	349	398	240	102	357
0	349	219	504	129	312	589	374	104	586
316	229	208	109	119	221	318	561	587	873
126	109	489	518	101	206	629	102	519	423
199	372	371	104	486	248	334	324	100	308
126	400	261	109	146	136	137	676	326	222
104	122	328	212	231	102	647	229	185	423
221	249	350	104	0	473	377	745	102	330
0	394	392	210	248	1024	224	445	259	603
236	104	189	0	235	459	636	248	243	103
101	115	0	284	275	280	483	768	339	241
110	226	235	441	231	495	518	568	116	107
0	119	309	114	156	389	230	224	189	502
0	108	115	109	206	624	233	627	198	255
235	107	302	103	0	843	605	253	275	332
349	107	322	230	217	115	338	334	626	277
146	318	108	252	286	250	382	650	683	100
226	139	599	344	352	356	438	525	878	535
210	332	0	498	145	362	160	292	229	384
148	325	346	219	282	365	308	0	482	397
125	126	117	300	189	347	379	372	266	313
126	596	0	128	327	0	0	854	516	0
214	226	534	414	611	107	0	350	564	260
109	576	0	246	438	308	108	489	505	300
112	0	472	126	553	0	427	689	497	285
245	109	104	124	111	274	219	551	455	126
0	221	335	206	134	539	249	0	380	226
344	215	250	308	128	430	225	102	389	113
122	262	246	107	147	101	114	638	657	355
451	137	176	114	0	318	283	210	206	220
245	255	0	307	119	115	289	467	500	239
227	119	570	326	208	230	608	206	209	349
355	250	478	452	370	504	0	245	766	207
161	0	554	250	603	324	311	104	1110	760
168	247	0	646	299	337	230	106	350	564
201	454	590	342	274	243	206	251	110	0
0	235	324	566	416	101	0	134	507	113
319	107	243	102	179	223	401	681	148	111
234	109	116	379	404	613	131	810	232	287
126	112	114	209	816	284	110	107	235	116
268	332	172	104	259	342	245	349	104	109
110	207	116	350	358	209	491	533	103	318
108	223	0	231	103	969	461	363	216	970
0	104	636	0	170	0	346	460	646	467
247	124	284	432	337	685	333	815	638	232
529	0	274	131	716	740	373	742	510	432
491	101	0	0	599	326	362	110	541	301
111	550	146	111	364	344	323	969	426	465
111	272	209	101	392	233	546	339	208	229
110	713	400	189	311	268	788	327	365	387
106	232	398	232	291	100	312	109	123	335
215	626	122	433	0	0	116	242	126	535
429	266	235	630	101	185	109	207	130	405
109	104	306	109	131	109	310	460	319	345
123	153	212	216	404	626	404	210	291	332
130	230	0	132	273	104	430	444	745	372
111	215	236	219	256	766	312	116	189	224
308	259	364	236	239	138	0	323	236	229
0	125	0	189	373	381	106	232	107	220
