0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
1178	572	1386	682	362	492	821	1227	751	537
895	181	770	751	1586	418	696	445	1425	589
1028	623	298	1356	929	902	1150	1355	1818	445
631	846	216	1254	1411	661	1316	591	591	623
692	853	1045	597	549	965	480	732	976	1456
1234	1180	480	611	751	521	1269	751	751	537
694	889	808	387	502	343	1127	407	451	1147
543	619	1058	1470	217	751	373	803	1179	502
751	941	1154	1059	1322	568	1036	1118	362	1135
1187	911	445	930	573	427	902	929	405	929
1177	811	447	1198	1276	751	2371	662	944	1082
362	544	1551	623	831	1067	492	870	745	1840
492	742	607	900	496	484	1038	1441	1456	1214
343	1001	1205	589	1067	1007	217	1318	1143	1120
2214	438	842	445	1604	520	854	445	1234	2127
842	512	1706	560	825	1732	1841	619	433	555
555	202	618	202	451	384	1015	875	525	965
380	687	405	999	1055	1456	976	938	445	573
1045	1205	835	1027	751	596	693	1011	938	745
418	484	445	988	723	940	445	787	1284	1196
216	1247	677	1015	650	920	951	891	778	573
751	521	465	580	800	662	786	751	485	589
445	502	429	694	362	596	1705	803	814	1302
1116	380	842	917	841	1322	1310	2045	1221	480
1280	1010	216	929	1073	757	929	745	380	595
619	349	492	1503	1071	1038	837	704	1293	414
792	1098	770	2514	694	917	938	780	745	611
519	1049	368	788	1493	929	1305	751	1077	815
778	994	1067	2531	742	467	1144	933	1338	793
519	1165	975	798	854	821	781	597	868	1073
414	885	871	719	1529	680	1356	2316	1167	795
212	956	1240	264	719	1414	832	466	433	438
349	842	1355	1291	920	216	743	292	854	362
686	374	1856	895	441	774	1072	433	875	694
224	217	1474	765	1149	661	757	362	1491	786
502	1015	751	436	787	845	662	829	1077	682
1506	1237	445	1301	1073	961	544	1368	1302	820
433	607	472	520	842	459	1812	1557	694	540
802	217	573	520	902	767	691	938	899	1122
181	508	975	1249	875	512	1252	917	445	418
687	696	838	549	739	903	815	622	537	1007
380	930	1200	433	1179	1292	292	632	1312	993
525	693	933	401	362	904	650	893	480	923
1015	1111	373	1063	686	202	929	665	519	502
844	573	1083	1515	512	549	623	1203	1393	1129
787	1686	814	202	1124	944	480	219	930	787
217	842	858	696	828	413	691	868	889	607
181	900	2207	1269	445	1190	573	1007	808	1572
1019	445	876	1027	1289	445	1744	1396	1174	1379
447	674	885	663	281	752	619	893	1337	1094
364	803	413	786	903	693	1458	1498	632	1011
216	418	455	224	1039	520	1258	310	795	572
