0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
842	991	1370	1465	2169	1411	2018	2370	3037	2779
771	798	802	931	4265	5869	2411	1316	2247	2282
388	464	945	1545	7755	7763	1277	1357	1374	701
883	1028	1719	472	3336	2646	1082	745	971	899
908	2387	688	3445	2174	775	620	2425	2528	2623
939	561	908	1765	1210	3292	4035	1208	3055	2350
587	0	781	802	1679	1261	1878	1411	1707	2197
532	1154	1336	666	1056	1788	6638	1880	1967	1691
917	1405	1399	1127	1175	793	4488	3137	1877	2391
929	358	2164	556	1862	1986	1399	1001	1690	2025
577	1304	854	1309	931	767	1983	2544	924	1046
861	2249	1455	3375	1542	2212	945	1804	1033	1082
851	932	1002	1636	1149	1303	1082	1457	2274	958
498	637	688	1470	1172	901	922	895	2154	1921
504	1370	915	3160	620	2245	2182	2103	1447	870
1419	771	1350	1917	963	1047	2148	2516	3144	1523
433	1296	1636	3376	2057	1093	780	2174	2657	1655
358	638	1247	1299	2748	1687	1070	2373	1458	2260
446	1042	1439	1077	945	1820	3177	1539	2119	1957
607	786	1043	2241	1345	1356	1037	4259	1739	928
590	296	645	1332	1712	1546	1668	935	1219	2229
879	886	3317	1180	899	1636	1982	1542	1967	2044
439	994	4055	1446	2340	1037	2209	931	1885	2241
897	760	1030	888	1908	1748	2241	1170	4217	1093
583	771	659	1252	2048	1632	2281	769	2320	945
588	486	964	1470	1487	1853	2174	2194	1936	1652
557	529	971	1520	1118	975	1601	2077	1754	8815
338	1463	698	1536	1375	1222	5866	1905	2001	7213
1235	653	723	771	1125	1379	1796	612	1496	2385
881	1387	820	1140	1539	620	2123	2020	931	1321
542	680	1091	1804	1687	1296	1456	1222	2528	1058
638	733	1976	1576	2071	1002	688	1501	2551	775
693	938	766	1520	498	924	502	931	3143	2765
501	1097	1162	2435	612	906	1353	4643	2605	5791
786	814	1650	1295	1046	1954	1136	795	1221	1204
439	1582	582	1251	1367	1093	4173	5238	1437	2705
831	923	1546	924	1736	767	1523	775	1045	1554
839	1415	1791	1173	1518	1855	2467	794	2891	2095
1028	921	688	953	1218	1300	2634	3013	1770	922
926	489	1420	1326	1287	1068	2397	905	5175	2161
533	2037	1105	1499	1411	1319	777	4788	2290	1405
268	939	894	1288	1143	905	1574	7664	1210	1081
1253	1160	802	1451	794	1044	1952	1829	4771	2859
1042	659	639	3134	1844	2043	1176	922	1233	1535
721	1473	771	1307	1788	1296	3248	1178	1468	3044
771	948	772	1633	1496	1621	2721	1884	2394	1082
503	611	925	467	1250	780	2101	1784	1075	958
692	789	718	895	2185	941	1045	1009	1157	2518
937	1498	723	2531	1573	1708	784	723	2011	2264
910	1383	645	953	1378	1420	1500	6918	2284	2770
685	585	534	1058	1173	645	1986	1014	880	1698
926	599	938	958	1322	767	2105	1235	4182	2032
312	1064	1391	1473	1837	895	1823	2317	1065	2363
770	777	895	3447	1348	966	1860	311	1033	3357
760	1065	502	586	766	1838	1916	2523	1416	2528
230	779	776	914	924	1547	2464	1469	5370	2185
1360	834	1236	767	1614	1549	2333	1406	2271	1033
889	1182	960	1040	1040	645	3219	2055	2452	2107
1295	1042	1465	893	604	1075	2108	2543	2428	2907
450	1348	1403	598	794	931	1814	4080	1086	2213
991	1018	981	766	1093	1865	147	1865	2724	2580
506	790	2417	924	1037	1577	1044	1983	1164	3418
614	953	820	732	1948	2412	813	2328	2200	2514
789	820	965	780	1749	2562	949	2096	2553	2311
819	938	1612	1764	886	688	1188	3006	9054	2302
647	1713	502	585	931	1575	1892	2318	2705	2315
949	924	774	902	931	1615	2140	1858	1595	2153
1026	708	934	1289	1305	903	870	2965	2558	3858
502	946	1965	3100	1059	1793	1930	931	1840	1648
842	771	926	1038	986	1053	1631	1511	338	1058
381	1698	1234	877	1136	3751	2133	2049	1792	4475
698	989	881	658	1073	2095	828	971	1706	2295
1056	906	1013	2169	848	598	2015	800	1980	2224
427	1174	797	1662	1532	2087	1322	2355	1240	1826
880	760	771	1495	1599	489	917	1657	2305	2302
588	596	632	489	1403	1324	2583	472	502	989
927	886	482	1198	1394	775	1847	1594	3001	2582
643	529	920	1348	688	3401	2346	2036	1824	924
1027	2159	1581	885	2191	2306	2091	2026	1222	1810
606	502	786	771	1572	1424	1733	1354	836	1652
321	1274	835	893	1456	1197	1624	1176	1322	2080
642	716	905	1244	834	2870	1815	1797	3095	1867
839	2998	767	1488	1726	1486	1832	1167	1781	1756
407	797	1615	1671	667	777	2056	2862	5972	1799
489	1582	855	620	1516	2236	1379	1033	1097	2938
688	1304	1371	776	766	1127	800	880	834	1787
1416	498	1494	1521	2091	2039	1924	1193	2582	2168
1090	1156	1897	1155	931	1199	2076	1251	1860	1399
1205	869	1727	771	1508	6311	1046	2533	1707	991
1413	590	1307	1189	1035	1555	1205	3570	3904	1136
1295	1549	1019	1635	1779	893	2193	1130	897	5907
928	1831	1410	1506	2105	905	1758	2032	465	2317
647	771	1288	1067	1125	1587	1275	2255	3037	1136
409	853	1167	1219	1715	1283	1838	2137	1878	2528
794	642	1021	1410	825	2105	1459	9102	1086	1219
669	842	931	931	2722	1351	1891	4004	3548	1621
491	1453	1601	1597	1042	2163	1984	5423	1237	2187
820	767	1459	1526	1920	4467	2547	2003	1757	2712
1034	571	2385	816	2344	906	4076	1347	1255	795
358	467	879	736	1127	1410	1735	1655	2025	3030
458	764	1036	637	794	1175	869	2837	2059	2426
640	502	879	1179	1783	1059	1086	1905	899	1728
2021	821	750	1889	775	1301	2218	5064	1403	1774
461	748	1937	1806	924	1359	2174	1630	1100	2055
526	869	766	586	1479	1745	1829	5155	2086	2238
770	771	1093	847	848	3540	1758	909	1166	939
454	1882	1276	2857	1434	1128	1737	2553	2153	7683
