0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
3	23	16	42	73	17	57	142	171	24
1	19	74	24	116	44	34	26	4	12
0	5	8	11	32	6	70	39	20	36
4	4	7	114	46	8	89	45	11	17
46	18	23	9	6	21	11	151	76	196
9	1	2	2	37	8	55	76	85	29
3	10	19	65	15	1	13	2	3	72
14	8	5	10	52	32	54	28	59	21
3	5	7	36	39	42	33	65	29	187
7	0	23	20	43	70	26	58	246	33
4	22	70	8	35	103	62	1	39	437
3	2	69	3	4	6	24	64	33	2
2	10	8	84	19	5	31	35	3	18
19	1	0	17	51	37	30	2	38	23
0	31	1	21	17	1	126	89	97	35
1	13	7	3	17	202	7	47	87	190
5	99	37	19	0	9	1	74	11	43
5	10	15	6	24	38	36	11	18	24
0	20	30	29	6	75	27	95	70	1
7	14	11	38	18	36	8	3	24	14
6	1	38	24	17	78	2	30	10	0
6	13	28	15	11	11	3	14	14	184
10	34	7	7	15	7	8	10	9	121
0	1	4	34	17	0	3	7	97	13
14	13	20	10	21	2	73	32	61	90
0	19	10	22	31	5	60	36	138	52
2	77	6	12	32	132	8	11	62	143
0	169	1	24	21	334	11	22	41	50
1	6	4	4	54	12	11	9	104	75
2	43	38	0	48	15	49	22	5	88
5	13	121	9	19	14	31	62	146	81
0	3	6	1	17	34	38	96	127	19
8	17	111	65	6	36	137	13	70	23
2	23	16	4	6	31	62	30	264	21
2	4	46	44	40	25	17	111	75	109
8	19	22	21	12	21	30	26	228	40
79	2	4	22	23	9	245	11	5	93
0	34	17	27	35	17	67	22	11	11
22	3	11	3	5	7	25	3	56	159
14	16	87	6	2	123	19	221	18	33
4	5	2	5	9	11	23	21	66	73
2	0	30	2	14	23	165	103	143	73
11	18	20	7	337	261	17	16	24	12
10	14	38	22	37	69	32	79	6	3
5	3	28	10	55	16	13	89	18	45
7	3	48	121	9	14	128	167	60	79
8	18	3	15	18	85	1	31	167	99
0	26	4	2	46	44	83	69	281	17
1	1	48	24	80	123	11	26	123	36
0	5	20	7	70	6	5	13	57	44
2	6	8	31	2	20	65	61	10	125
2	8	1	15	48	1	11	26	122	20
8	7	5	11	22	40	26	1087	57	125
8	19	11	25	45	70	44	30	183	28
1	2	6	28	45	60	6	44	60	400
4	31	282	5	1	43	91	29	31	48
11	3	74	3	65	33	32	55	387	86
12	7	0	19	2	33	62	47	90	45
1	2	35	1	88	15	32	30	27	18
22	5	4	8	3	1	66	11	297	58
0	0	18	2	21	69	62	150	84	33
9	68	4	16	9	18	42	26	4	17
5	6	7	11	33	6	2	9	18	19
3	1	24	2	34	69	2	52	2	8
4	1	40	2	93	66	13	205	111	8
3	10	14	56	51	3	35	14	49	66
2	9	81	23	77	35	97	65	93	21
0	10	30	34	4	22	53	67	9	66
1	21	7	49	4	5	67	510	44	21
8	9	2	4	16	24	152	212	19	15
2	7	33	13	3	18	9	14	9	102
1	1	42	2	122	0	36	207	7	2
8	20	109	10	47	2	53	23	3	39
4	16	23	25	19	17	15	14	19	15
3	6	108	38	34	35	14	0	89	58
3	11	4	18	34	13	18	5	11	17
3	15	29	27	26	28	48	27	3	55
1	9	6	24	54	147	37	66	89	18
12	5	5	25	7	25	661	15	64	135
2	20	0	7	45	13	82	9	15	1
7	2	2	2	4	12	10	40	11	849
4	10	42	3	3	38	32	26	12	63
5	0	34	14	36	91	141	36	45	33
0	0	14	3	12	148	35	88	31	74
6	1	14	64	20	81	95	6	67	50
3	0	1	27	63	54	21	77	42	57
5	9	66	21	21	48	64	13	26	80
0	1	18	11	30	3	35	25	66	30
4	3	11	10	6	40	15	69	19	9
4	16	16	28	19	37	36	35	151	12
6	18	5	20	1	34	38	10	294	92
16	3	21	123	40	78	32	87	24	47
4	0	121	41	23	26	30	3	108	49
8	8	4	7	26	16	30	19	61	107
3	1	27	32	44	5	29	69	4	66
12	2	0	169	21	69	164	95	99	93
9	4	21	22	24	51	15	20	4	159
0	16	39	2	58	18	6	23	53	113
1	35	9	28	28	2	47	85	21	101
0	6	11	7	8	25	6	59	27	79
9	6	33	4	22	42	22	22	6	50
0	14	122	18	37	14	9	282	76	109
9	2	5	20	24	38	4	4	49	24
6	8	2	114	35	19	107	73	33	21
1	16	24	30	1	24	52	188	21	37
4	12	6	88	166	466	48	24	68	26
1	9	24	5	1	20	40	45	12	5
4	11	0	9	62	52	71	113	40	32
5	0	37	9	30	64	9	41	50	29
4	11	14	1	107	72	57	42	74	11
5	3	20	21	2	132	14	38	11	73
18	3	38	50	5	353	19	22	30	25
7	1	46	24	85	2	15	32	151	118
9	0	2	45	20	7	69	1	11	54
11	8	14	11	26	12	12	122	3	30
2	4	7	36	11	25	4	26	172	14
14	5	10	48	64	3	67	83	110	86
14	2	17	27	6	127	4	75	26	62
1	62	33	96	51	24	15	33	126	61
3	27	15	32	20	547	24	67	6	97
8	3	17	57	2	160	77	15	71	47
0	11	49	3	6	187	40	0	27	15
1	25	10	23	4	14	25	7	42	5
14	11	5	22	21	34	5	27	10	41
7	21	2	22	2	34	34	21	23	4
17	2	23	5	22	155	6	6	4	51
16	14	41	39	0	26	16	373	413	24
2	21	3	36	31	122	30	41	26	72
8	2	6	11	3	39	31	89	4	90
4	11	39	3	9	18	19	7	21	10
0	10	11	2	193	20	37	93	49	17
12	0	13	20	62	2	340	42	35	34
5	11	15	8	10	8	19	19	44	3
7	35	13	39	9	3	90	6	149	2
0	15	2	2	10	25	92	6	18	5
3	1	1	37	33	45	0	57	5	154
1	6	1	41	81	31	8	83	7	98
2	9	35	43	20	132	49	35	36	23
2	24	21	3	18	49	58	27	49	89
6	8	0	47	32	17	85	2	63	11
8	23	5	27	9	26	39	38	44	8
6	6	19	2	5	26	19	33	69	20
3	0	0	7	14	62	15	45	12	9
0	14	14	0	17	5	37	37	34	85
5	6	29	18	33	6	43	69	18	6
6	20	2	52	8	75	72	67	6	179
13	7	9	22	6	64	2	58	17	13
3	13	2	9	25	64	3	1	102	4
8	9	29	18	5	34	6	27	23	29
0	1	3	17	19	54	2	10	82	55
0	0	28	3	26	1	1	43	212	8
11	1	28	6	1	34	54	10	245	90
5	33	3	2	179	35	130	50	5	30
22	20	3	12	55	67	29	3	73	9
7	22	19	2	68	18	230	10	119	24
6	6	3	102	664	131	52	112	55	657
27	13	72	15	33	3	39	23	86	60
10	7	149	23	29	43	10	20	78	7
0	1	22	26	33	5	704	48	27	34
4	31	32	2	6	87	40	39	3	23
2	30	22	15	82	338	16	257	5	16
0	2	6	76	43	4	40	94	7	17
22	15	22	0	30	11	49	62	28	28
