1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	1	47	6	4	4	1	3	1	0
0	1	0	4	0	11	1	6	7	10
1	1	0	1	8	4	0	0	1	0
0	0	1	0	3	0	2	0	0	0
1	4	6	1	0	4	0	3	0	1
1	1	1	0	0	0	11	1	0	1
0	1	6	4	1	2	4	3	9	7
20	0	2	1	0	3	0	4	1	0
0	1	0	0	1	4	59	1	0	4
0	0	1	0	2	3	2	6	2	5
0	0	2	3	12	10	1	7	103	4
0	0	0	0	0	1	4	1	4	4
1	0	1	3	2	0	4	1	2	1
0	11	0	1	0	1	0	0	8	1
1	2	0	3	1	0	0	15	0	0
0	4	1	0	0	1	4	1	7	9
1	0	0	0	11	3	10	0	1	0
0	0	0	2	2	2	5	3	1	0
0	0	2	2	0	0	1	0	1	3
0	1	0	0	1	0	0	1	3	6
1	1	1	0	3	0	0	1	5	1
0	0	1	2	5	37	0	11	2	1
0	3	0	2	2	1	0	7	12	0
0	2	0	1	2	0	4	0	2	0
0	3	0	0	2	0	4	6	14	0
1	1	0	3	5	1	1	2	9	40
0	0	1	4	1	1	31	1	18	2
0	1	0	0	4	0	1	19	5	0
0	2	1	0	0	3	11	1	3	0
0	1	0	0	1	2	4	2	4	0
0	0	0	2	0	5	1	2	6	11
0	1	2	2	0	83	0	0	1	9
0	0	0	6	0	1	0	1	4	2
0	1	0	0	1	0	4	4	4	7
0	0	0	1	3	2	2	0	4	0
0	0	0	3	0	12	0	0	3	11
1	0	1	2	6	0	17	1	3	0
0	1	0	4	0	33	4	0	0	3
0	0	0	0	0	0	0	0	0	2
0	0	0	1	1	2	0	2	5	0
0	0	1	0	2	0	1	12	5	1
0	2	0	1	0	0	7	3	5	3
0	1	2	0	3	0	7	2	3	2
0	0	2	0	0	1	0	0	3	7
0	3	2	1	2	0	1	2	0	5
0	6	0	1	4	1	1	4	2	1
0	1	0	1	0	3	0	53	10	11
2	0	6	2	0	7	2	0	2	4
0	0	1	0	4	11	1	12	0	0
0	0	1	0	0	0	56	4	1	4
