0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
3	15	28	10	10	60	25	46	83	69
3	3	14	52	56	91	168	72	38	90
4	7	25	33	50	21	42	15	747	20
8	17	98	69	7	55	102	24	122	5
1	16	64	1	5	184	6	74	63	27
3	3	9	6	24	6	5	66	21	11
6	10	1	1	22	28	1	53	19	243
7	7	13	14	29	450	51	208	26	17
4	20	53	24	10	117	8	15	15	1
3	29	4	2	52	21	70	129	122	34
13	10	62	24	33	12	148	64	110	9
0	27	16	40	10	36	115	54	49	65
2	0	32	53	29	47	333	116	10	53
5	40	2	8	26	92	19	20	17	32
3	16	5	16	15	34	90	12	49	125
0	3	101	2	43	5	16	19	176	20
9	121	12	72	1	64	132	4	44	25
0	4	16	4	5	54	19	43	41	6
9	9	75	7	6	36	4	96	43	105
26	5	25	16	46	14	14	5	59	90
1	30	29	22	11	2	61	139	48	49
0	28	14	34	100	47	109	226	89	189
1	5	3	19	5	25	7	162	18	68
1	9	3	40	8	19	61	71	7	25
10	25	17	48	14	31	12	79	56	41
11	22	18	78	4	28	63	156	97	12
0	8	54	37	25	19	3	35	9	107
10	8	17	39	9	23	12	71	7	169
9	4	19	6	6	9	27	113	106	128
2	10	2	73	3	4	51	184	10	5
2	32	18	53	58	3	68	78	75	127
10	2	10	10	37	58	192	75	88	61
5	17	15	7	25	94	52	66	8	15
7	8	2	1	9	18	4	25	20	119
3	12	4	37	51	9	1	9	31	74
1	35	27	1	21	10	11	75	15	2
1	9	9	6	40	78	61	237	65	145
1	15	40	141	55	49	71	39	24	1
21	13	4	54	3	53	59	50	16	9
0	18	34	8	62	118	28	57	13	119
19	1	15	33	24	7	13	170	66	78
12	17	22	49	9	13	47	24	1	73
3	9	79	18	23	29	46	120	53	67
97	9	36	17	78	11	22	8	36	86
3	24	8	3	11	5	3	49	16	4
11	12	49	25	16	5	23	4	80	152
1	5	39	9	16	3	4	386	6	71
27	55	92	13	34	24	84	40	181	297
47	7	1	47	9	83	7	11	19	1026
4	6	1	18	290	35	169	12	56	7
1	14	20	9	4	62	22	74	52	442
4	3	20	1	57	56	16	73	17	41
0	15	37	133	23	4	107	382	143	170
9	16	10	4	47	43	19	39	73	46
9	7	8	8	6	32	35	42	24	14
11	14	3	44	11	51	52	7	137	97
2	16	15	40	296	23	17	16	12	26
0	13	4	27	9	5	12	28	45	115
0	13	14	40	39	82	96	69	179	9
7	55	5	0	22	16	36	88	5	96
