1 NN	2 NN	3 NN	4 NN	5 NN	6 NN	7 NN	8 NN	9 NN	10 NN
22	2	9	8	3	29	12	37	14	30
8	18	9	8	13	6	16	10	10	23
1	1	8	11	5	11	14	12	15	7
6	23	5	17	14	7	37	14	42	154
3	6	15	26	63	23	13	54	5	27
3	3	4	16	10	11	11	32	104	63
3	6	4	11	13	39	20	6	18	23
1	3	14	14	16	4	17	13	11	55
1	4	10	9	24	15	23	29	8	30
1	13	25	13	9	18	13	32	82	14
1	2	10	24	18	21	31	6	8	27
2	10	5	7	3	14	14	28	47	15
4	35	3	5	8	48	17	14	26	22
2	7	11	29	2	4	25	24	10	23
4	33	6	19	39	26	18	36	10	21
2	2	13	13	10	19	10	23	56	210
3	2	4	9	11	24	18	85	33	11
2	8	11	22	24	20	20	17	5	34
2	9	7	8	6	17	6	24	13	14
1	2	22	43	7	6	33	7	12	11
9	6	7	5	20	10	35	10	14	22
2	3	4	13	17	45	6	28	37	81
20	10	9	5	9	22	21	18	64	30
5	8	6	18	32	47	15	13	11	6
1	8	7	17	47	13	21	15	73	14
1	21	4	6	2	18	4	34	13	109
6	4	19	5	11	10	35	12	61	44
1	12	3	16	54	15	25	4	14	38
3	13	5	13	22	17	10	13	20	25
1	7	2	14	25	21	9	10	15	34
5	8	5	24	14	30	19	16	22	28
3	9	21	10	28	41	24	10	22	36
5	10	3	7	3	8	15	7	15	26
7	67	18	39	5	16	10	29	28	20
2	3	17	9	31	25	11	29	24	20
2	4	4	9	15	11	31	13	10	33
15	2	11	4	14	12	6	26	21	34
9	4	9	7	147	8	5	15	15	30
2	2	7	8	13	31	48	46	22	9
4	3	4	10	17	25	33	12	46	40
1	40	7	22	28	15	8	200	18	65
5	5	10	14	6	13	39	62	28	14
2	4	8	13	5	29	6	25	11	59
5	5	23	17	8	11	14	16	36	37
1	17	8	5	20	8	18	19	25	15
4	6	3	6	13	15	13	37	31	16
4	28	3	24	14	28	16	25	15	37
3	3	7	10	12	7	24	16	36	57
36	15	3	25	40	11	38	17	27	121
4	8	4	22	11	16	15	24	12	40
3	5	2	15	7	27	87	15	12	26
4	5	4	10	14	4	3	11	18	43
3	28	52	2	7	5	7	14	77	33
4	2	8	3	19	12	8	27	22	11
9	2	21	38	8	9	8	9	55	33
2	6	7	49	12	20	40	20	57	39
5	2	11	9	13	19	84	10	22	60
2	15	11	5	23	32	13	14	31	36
10	5	6	9	14	17	9	20	43	39
1	5	21	4	15	13	17	1	23	4
4	9	9	11	9	35	22	3	43	59
3	4	2	4	23	11	9	32	26	8
14	6	1	15	10	10	18	46	19	15
1	14	19	15	9	12	43	37	11	17
2	6	7	7	6	12	16	27	20	12
2	8	16	12	12	24	16	34	37	77
1	2	14	2	8	19	11	19	16	14
3	19	3	17	58	13	5	6	25	45
4	1	8	4	32	26	24	36	19	52
4	2	16	5	99	67	40	16	15	33
1	11	8	4	41	10	15	22	15	40
4	21	22	28	15	16	21	13	32	69
25	3	3	32	15	7	16	27	27	16
6	8	3	7	6	27	16	14	65	15
4	7	8	6	17	10	140	11	37	88
2	9	27	11	23	8	13	18	2	13
5	2	17	16	13	28	11	17	49	22
4	2	17	7	27	4	19	34	19	41
4	2	13	1	17	4	33	22	23	53
5	4	14	15	18	22	36	21	54	27
1	7	21	5	21	17	40	24	19	29
1	6	20	10	25	7	4	16	13	28
2	14	11	27	6	18	50	21	24	24
3	2	26	14	11	10	8	33	16	31
7	4	7	6	25	17	12	18	20	7
3	6	45	34	17	7	8	21	27	56
1	3	10	13	15	66	52	14	22	17
7	4	8	12	4	11	10	29	23	42
7	8	7	10	15	6	11	49	32	26
5	13	25	49	13	63	22	12	16	48
1	4	6	22	57	24	11	12	8	41
6	3	13	9	8	14	34	38	14	11
3	10	8	5	25	2	26	15	36	73
5	7	9	11	12	8	18	40	16	23
3	10	6	3	140	11	47	8	30	36
1	2	12	11	38	49	24	14	11	16
11	1	5	34	41	41	19	18	17	25
2	2	4	13	7	14	14	20	87	38
1	15	6	19	13	59	21	24	24	41
6	3	4	9	22	27	21	21	15	14
6	4	55	18	17	27	25	24	186	54
1	2	10	9	14	48	30	15	42	44
1	9	27	3	3	10	20	7	32	20
1	7	3	13	7	60	12	44	30	36
5	5	5	12	22	34	21	196	35	27
2	3	1	12	3	6	14	31	67	21
2	8	5	17	17	15	70	9	83	13
4	13	37	24	9	29	4	9	178	32
1	15	8	9	34	5	10	28	12	11
8	1	7	33	20	11	66	22	42	30
1	5	9	27	28	41	25	35	26	41
6	5	4	13	9	7	6	25	58	7
1	5	8	6	24	10	11	7	22	21
1	14	9	13	33	37	19	9	32	11
1	9	3	11	11	70	11	20	35	22
3	1	19	4	31	34	20	46	45	32
6	8	10	8	12	38	18	19	83	26
1	13	3	4	96	6	11	26	4	13
7	10	12	5	8	6	16	12	23	27
2	15	13	16	12	11	29	66	99	16
11	3	6	106	9	27	34	31	11	7
10	23	5	1	35	19	35	14	57	31
1	20	6	23	18	37	4	2	21	22
1	2	5	5	24	8	28	24	10	26
1	4	6	12	3	17	119	15	19	13
2	6	2	16	24	46	38	7	6	50
2	2	5	5	5	10	46	28	178	11
1	60	4	12	9	51	18	20	25	18
4	8	14	13	11	14	19	7	24	47
6	15	3	15	22	15	39	16	29	29
3	2	3	9	15	18	26	18	29	22
1	5	24	12	7	8	36	138	9	17
16	6	15	10	31	9	25	9	34	22
2	21	10	16	50	7	15	65	5	74
4	4	3	4	14	43	48	12	57	74
3	4	12	15	15	19	10	69	65	17
1	3	3	6	12	6	38	68	12	55
7	4	15	4	27	8	57	32	11	41
8	9	4	7	7	6	27	33	18	34
2	29	3	15	4	7	9	21	93	34
1	2	3	26	5	19	88	12	12	36
7	2	10	11	16	15	15	49	9	26
2	9	5	12	8	69	7	14	21	31
31	1	12	16	7	10	1	15	108	75
1	2	6	7	49	9	4	13	18	58
2	14	6	13	12	11	9	105	80	15
36	7	13	8	14	24	31	2	24	32
4	9	2	11	10	40	12	12	25	10
1	2	23	8	28	12	15	1	17	23
6	6	19	6	20	15	7	35	24	42
2	3	10	16	7	30	34	53	160	28
5	2	7	11	11	21	30	6	24	16
3	10	29	1	8	4	8	8	39	12
7	2	47	44	75	17	19	24	11	8
2	10	3	16	28	2	10	14	50	22
1	23	3	11	15	47	28	21	16	20
3	5	15	8	11	31	26	7	11	18
4	2	9	43	6	67	22	13	51	34
1	4	16	6	13	11	17	18	21	26
1	10	18	12	7	31	17	73	25	88
11	5	10	4	15	10	25	26	39	50
3	1	14	17	7	10	80	75	48	14
2	3	3	6	35	51	8	10	35	6
3	15	45	28	28	18	13	5	23	12
1	3	5	16	40	19	19	12	17	96
16	5	16	17	23	35	26	51	53	14
2	4	4	31	5	3	3	20	12	13
5	14	30	19	12	16	8	26	68	38
4	2	3	34	17	19	13	36	31	22
5	3	42	4	7	19	9	78	8	9
1	5	15	10	16	47	48	57	14	34
1	3	6	2	4	7	25	10	18	58
27	7	3	7	15	5	10	29	24	7
2	3	4	26	45	12	56	61	14	19
4	11	19	25	17	15	8	96	10	17
5	6	69	14	11	1	26	24	110	17
1	7	9	14	11	7	112	67	35	10
2	2	7	27	18	15	12	6	8	36
2	2	10	15	35	6	8	28	39	78
2	9	21	16	77	18	15	8	17	38
7	5	10	13	17	23	33	10	25	53
1	2	22	12	2	7	11	36	37	37
1	20	9	13	6	1	17	10	152	32
4	7	8	19	17	27	8	16	2	11
2	11	2	7	21	10	10	25	13	53
1	2	6	6	25	12	20	19	8	58
9	3	3	22	28	10	17	19	13	19
2	4	10	22	20	9	18	10	47	23
2	14	9	14	5	11	24	29	14	29
3	6	19	2	17	58	32	14	3	22
6	13	6	21	5	18	8	17	35	21
9	4	8	9	9	10	6	21	48	18
6	1	7	5	18	11	14	25	8	20
4	5	6	2	23	33	5	11	34	23
2	1	47	2	8	2	16	19	22	12
2	5	14	7	3	8	44	7	89	32
3	5	27	4	9	5	34	17	9	1
9	7	24	18	12	25	55	11	23	12
1	7	7	33	6	12	10	6	30	24
1	23	4	3	19	10	18	34	6	14
2	6	8	16	8	24	43	14	52	19
3	13	5	5	9	40	17	20	21	26
8	10	4	19	2	12	33	8	17	5
10	4	10	16	101	26	67	19	22	35
1	8	19	9	12	12	7	23	26	19
5	3	21	26	14	13	2	24	59	25
2	2	3	7	9	7	15	80	19	14
1	2	3	30	42	9	9	8	7	46
14	6	7	18	10	16	16	26	21	50
1	14	2	43	5	4	9	4	4	46
