0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
462	8	824	305	560	197	30	27	770	1203
56	15	256	584	528	471	515	703	718	1275
186	12	378	307	101	454	50	360	52	19
75	218	623	183	412	396	410	1763	1622	525
8	163	7	32	350	131	953	855	126	576
158	1	15	180	55	768	397	1097	825	124
5	6	0	369	34	192	761	487	997	101
226	226	2	22	42	346	216	527	1107	281
0	9	2	9	0	475	716	659	1504	175
62	129	28	44	17	23	171	107	947	28
8	4	29	1043	178	28	200	595	394	849
2	16	87	24	80	289	556	220	68	718
2	584	443	64	266	233	24	1086	406	953
36	424	3	176	302	123	238	200	763	990
2	244	169	288	34	46	38	217	625	570
12	160	219	299	32	934	407	1736	1186	162
1	390	780	300	15	153	745	588	1406	361
188	2	415	552	269	23	496	1228	806	768
0	251	10	2	5	1370	14	20	711	478
0	34	379	296	1515	25	301	53	1134	795
3	308	281	196	250	738	1013	253	43	128
6	136	924	399	588	970	277	4	384	872
2	19	3	354	666	525	1237	685	762	1210
0	141	86	23	147	202	644	944	526	846
34	124	52	88	1	417	525	390	82	887
11	668	360	323	608	229	182	8	853	735
4	3	664	205	342	376	810	1495	69	77
96	541	1	486	28	260	133	135	174	534
249	4	299	18	51	36	51	653	1474	18
4	20	33	222	45	559	311	687	1216	397
103	65	166	32	323	58	2	704	1269	1856
606	17	2	219	10	149	125	61	347	1918
158	1	424	0	16	348	435	914	3	1037
0	19	386	15	227	19	4	938	31	1402
87	3	24	16	115	16	18	366	480	424
4	6	57	129	224	743	509	584	397	956
223	316	126	508	763	527	27	232	180	136
6	0	27	10	802	553	145	346	1893	893
14	477	179	7	490	516	604	457	1164	750
17	343	363	2	1869	511	29	1188	867	588
10	430	113	112	1050	1340	352	24	111	983
195	2	29	1	386	551	46	4	990	94
1	70	105	33	0	521	51	110	715	508
3	3	5	1035	1608	592	54	992	1087	737
8	188	8	1339	473	429	4	18	1129	119
23	12	298	678	3	56	66	142	1250	1641
5	318	0	43	344	367	3192	1620	701	319
8	146	22	50	181	862	474	699	33	242
8	143	177	273	6	566	616	2260	1014	763
10	0	156	304	18	721	890	256	824	765
9	5	581	4	1775	252	26	373	654	2
108	125	16	395	9	60	1075	370	555	246
256	437	215	466	2	304	2746	1415	557	665
25	2	18	270	249	239	235	269	1025	59
65	24	8	44	307	54	72	124	743	1978
26	3	426	378	75	272	82	928	530	282
34	11	108	16	363	4	384	89	809	789
69	196	8	104	7	526	945	405	670	318
129	136	238	6	1385	106	3	92	5	24
2	283	11	333	645	2834	8	990	740	160
90	4	350	720	10	357	137	696	813	279
2	581	125	169	495	5	730	327	1913	4
3	323	11	78	33	669	174	986	22	84
173	8	869	217	1096	1065	491	284	121	95
0	9	2	415	854	563	604	5	973	1567
67	5	219	328	156	442	568	768	160	2259
290	205	255	37	38	57	558	900	1463	9
4	295	0	495	174	201	360	555	361	1091
1	411	1418	433	415	27	392	637	312	212
6	134	884	813	13	1086	1	1301	637	1265
1	11	2	71	373	96	10	653	1098	417
2	180	1	29	2	564	411	934	566	381
1	37	40	2023	29	481	2	401	561	283
5	222	199	250	1111	733	238	926	859	413
380	19	1	4	505	455	592	387	206	905
16	3	16	79	5	357	8	331	1119	513
8	21	24	475	246	676	15	559	1112	444
259	2	16	289	631	6	510	47	930	1236
3	151	13	511	101	933	663	645	1376	2362
2	61	487	2	1093	601	3	594	271	680
0	65	0	3	291	15	1054	264	770	446
195	79	279	505	212	490	281	720	700	217
23	81	349	199	126	294	74	482	2107	137
0	118	1146	388	743	72	287	6	451	729
105	30	308	436	515	833	891	772	605	186
2	7	4	171	57	5	1077	3913	862	903
1	221	114	43	170	889	41	901	561	930
0	20	22	82	475	31	166	253	68	1723
151	406	251	715	1	280	732	136	416	557
1	1	101	170	16	149	2509	442	558	840
0	3	8	194	9	375	1146	1888	3	1308
34	33	458	1039	15	75	30	7	72	933
258	125	536	238	295	251	94	560	330	796
142	5	5	607	134	797	238	265	1137	851
959	21	339	279	17	66	383	246	621	149
10	261	29	567	220	434	800	337	17	579
4	219	392	574	31	951	544	1747	1232	484
505	117	104	301	30	439	148	17	200	980
92	1	385	511	497	21	3	480	776	387
1	250	3	64	2	607	197	805	1241	177
0	2	614	51	1054	255	627	480	86	489
86	14	3	15	191	227	226	2006	83	29
0	6	192	248	39	90	29	434	1488	670
2	0	47	591	516	258	773	229	1308	760
24	44	1	90	888	564	34	23	226	878
87	449	20	451	940	366	642	150	469	567
70	12	177	811	3	74	2592	100	335	840
1	19	2	500	40	68	474	212	9	162
1	382	20	1	5	537	464	793	7	745
0	301	181	409	267	27	694	11	518	557
0	33	3	27	2	773	35	372	635	435
6	452	187	175	13	662	149	12	217	43
0	126	102	325	566	272	580	866	823	569
109	7	48	214	13	322	698	6	1157	2113
204	11	878	404	4	400	162	1583	590	991
