0.1 percent	0.2 percent	0.3 percent	0.4 percent	0.5 percent	0.6 percent	0.7 percent	0.8 percent	0.9 percent	1 percent
4826	1808	2745	2808	4871	6920	5485	6243	8166	7533
1820	940	1632	3463	3582	7078	13963	15929	7732	9454
566	1628	4542	3473	5163	3612	5198	2634	5871	6994
1494	1304	3328	2428	2126	8467	9492	3959	13095	10849
211	2132	2170	3597	3234	5237	4069	6385	6910	7634
1515	7839	3570	1457	4620	1636	4125	9084	5774	4805
471	1468	3651	5246	5366	15589	5801	8107	24644	5754
978	1305	2921	4868	6239	5394	2826	13584	2854	4759
678	1778	5163	2409	3270	4394	6761	6316	5360	16903
1248	3184	1777	7107	6364	3988	3524	5443	10129	11964
653	7619	4153	5834	5703	3677	10372	4795	6010	10861
1023	2857	3393	1938	3713	10326	4841	4862	12783	12955
1578	2074	11407	3948	4114	4268	7162	4025	4623	5448
1008	3777	2162	4094	4940	7688	9103	4874	17039	3467
4596	237	1232	4879	4828	6089	5935	10177	3093	7871
1622	2413	3858	3603	3863	4842	9520	5339	5376	5293
1030	1825	1196	5528	3525	6080	3921	7049	8709	10779
1045	3046	1945	1952	6607	4552	4753	20327	6598	8143
719	3432	1194	4250	3016	2223	5365	8063	6158	3060
1001	1520	1491	1862	4053	3791	10660	4561	7852	8428
2912	2285	3403	4549	5827	2083	7440	7065	7081	4797
871	1226	2213	4455	2291	8098	6813	7733	4938	5866
1087	1172	3568	2036	1147	5214	2771	5864	7938	9125
1165	7939	7254	3162	12000	4433	3934	3220	6998	8072
779	868	3221	1877	6217	7586	2597	5189	5933	2767
1164	1220	2572	2130	5239	2936	5547	3769	7581	8002
939	3445	10697	2351	3429	3861	6379	4509	6704	7298
2351	1628	3490	2200	3654	4056	2682	8834	7727	10266
1107	1360	2856	2539	4798	2542	14746	6422	10745	8505
2578	2906	8539	2765	3861	2996	7072	8430	12022	7956
2354	924	7714	8263	5649	6974	9202	7269	7909	9164
0	2277	4557	7275	2950	3313	7237	15611	8212	12542
2816	3507	3252	2738	5935	6801	4960	4222	8042	7325
945	3763	2871	5323	6322	4006	7147	3957	10266	9055
1570	646	3435	4269	3178	4151	6582	2187	4633	3810
1960	2437	2045	3776	5827	3771	13711	7785	9307	9610
2108	2850	4729	4893	1812	6334	6133	5187	26742	11417
1185	2187	3387	1566	4383	6376	4801	11496	4715	11409
1246	2579	4778	3213	7055	7189	5365	2733	6922	16647
1074	1538	3014	3006	2623	4462	6286	3352	11547	6501
1202	2401	3138	3579	3054	3756	5070	3924	7837	6541
62	2044	2474	7972	4917	6306	5611	8628	8603	9995
1154	2019	2688	4403	3391	6183	4953	3150	3811	18469
445	1227	2037	3115	2237	4278	14562	8622	5833	2647
842	2320	2429	3830	4522	4471	4827	3295	2685	5538
1103	1145	3296	1288	6662	7458	4401	20366	7401	8116
542	2949	3454	15496	4400	3073	11668	6690	6492	4255
1270	2400	6525	4634	6529	3265	5830	5458	7678	3557
1849	2211	1727	1175	4285	3344	3467	10327	6493	7444
706	2932	2677	17761	3707	1992	6181	5218	7612	4770
1143	1608	5263	8522	4769	7081	6261	14037	10706	23043
1236	474	1249	1972	7425	5675	10050	14179	5587	6289
1313	1818	4194	1386	4049	6321	5370	14093	10675	12745
2171	2291	1119	5165	5847	4342	8810	10222	3449	4073
1242	2868	2996	3001	16592	5417	6010	7340	7199	6534
3566	2705	4923	3261	5737	6717	1820	5747	7409	5898
1184	3045	2570	18449	4688	5947	2030	5453	8042	12557
582	3682	1637	3600	3866	4805	5171	5271	6239	4472
798	3059	1572	2489	2851	5602	9595	7766	6482	14858
2057	2442	1417	1063	5150	5106	5906	2663	4502	8102
1199	3052	2528	6240	1712	6931	10313	2864	2917	9665
1049	4034	3563	3176	4059	4963	7367	8713	8954	4703
1242	2389	2539	4163	3027	5911	4709	4120	5683	3151
3997	1511	2853	2909	5291	5804	25611	12010	6961	12312
4785	761	2237	1264	2704	3622	4625	12464	19506	8458
1222	1144	2836	3198	7564	2613	7305	5692	8794	5448
1175	2399	1113	3884	5695	4439	5558	12878	5110	2579
1287	2244	2165	2424	7456	1908	8115	9884	11989	7232
1964	7926	2122	5586	7021	5498	5828	4280	7442	3766
680	4330	3815	11309	4916	7108	6198	5422	9040	7117
986	2708	2433	1261	4012	8882	3391	4357	11474	8996
1836	781	3064	4044	8195	3048	11760	3853	4004	16191
617	500	3258	1767	1849	4872	4257	6586	11248	11526
1171	1645	3810	8176	6282	4459	7232	5774	8128	8458
1132	283	7946	1455	4686	5339	7872	3882	9599	6124
104	3333	3096	1839	3813	3080	7571	8599	7540	4824
1029	1319	3851	1313	5814	8427	7886	4414	6745	8780
2412	1734	5823	4837	5369	5509	3630	5049	6005	19894
