0.01 percent	0.02 percent	0.03 percent	0.04 percent	0.05 percent	0.06 percent	0.07 percent	0.08 percent	0.09 percent	0.1 percent
499	1201	317	204	1682	416	1202	1151	656	1195
461	433	1666	757	2131	853	449	747	1040	5154
958	449	1093	1632	713	1609	1846	1327	1779	1912
120	560	104	1005	331	1412	844	1403	1163	1969
1045	119	1484	1168	1068	891	1765	1791	1998	2568
378	109	223	211	984	1450	965	324	1719	1097
426	0	409	1125	1778	1795	604	1072	619	1944
112	620	800	1261	536	653	814	883	1427	1633
594	756	1093	574	916	925	1715	929	1111	1545
126	689	515	428	211	1236	4115	1319	1048	1157
1003	695	823	1466	1391	922	1727	2940	1767	2201
560	658	665	1306	1166	962	212	1759	2745	1858
462	650	1284	538	772	666	1640	991	1139	1974
711	968	391	1493	861	879	1189	1927	1378	1565
490	617	217	539	1258	1455	502	1602	1948	1306
742	1516	1234	925	750	610	2263	1076	1141	2312
768	437	539	2333	1040	1733	1295	2566	846	1448
628	500	895	814	1990	697	1384	1242	1583	1640
226	608	625	423	847	1495	1098	1902	832	1582
963	1282	617	1161	955	1356	2039	423	2519	1505
761	1050	1559	546	1662	1933	3446	1307	2371	1460
241	100	101	927	1654	937	518	563	1875	1672
516	582	501	709	1612	1243	1441	2056	1472	1658
447	538	507	561	1230	1595	1771	830	1512	809
856	1421	1342	734	1202	1108	1890	411	3011	1698
581	1335	760	2047	783	857	719	1060	1044	1645
500	534	505	1561	879	1472	894	647	2899	1142
718	464	530	992	1885	2507	2139	1432	1525	104
655	755	567	1193	997	1116	1623	943	1265	317
436	0	446	341	882	1865	646	1077	1422	1373
378	314	1222	572	1568	753	832	1367	1764	1272
750	322	708	1007	591	880	1102	2548	916	1057
143	836	1107	526	1055	868	1306	1316	846	2626
183	555	794	1038	892	1126	1570	756	2111	1802
470	1486	1245	303	1891	1562	223	3317	807	1311
269	1118	677	834	2883	302	1135	881	734	2652
518	0	865	244	937	1670	1180	1344	606	1841
559	612	650	665	1454	2310	695	1435	3115	1883
415	640	107	748	224	957	1523	2678	1999	2059
1276	860	611	1225	863	1919	667	211	1230	210
436	1699	187	517	992	1047	1308	764	858	3633
410	1196	206	311	1695	743	1137	1657	1892	696
331	337	593	720	628	1308	957	1583	726	1620
773	1034	734	2920	212	876	1142	1811	646	3816
187	222	1100	1720	594	609	918	419	1890	578
128	1134	525	795	2184	1626	814	1515	774	2365
648	762	1327	779	1100	0	1344	1665	2514	1118
1049	1550	1097	739	1783	1165	1727	2033	1303	1898
330	601	1516	412	1366	553	692	2033	1474	1043
714	389	1297	996	121	111	1606	733	1454	1340
457	555	323	465	941	1210	1058	1027	2841	1444
446	656	509	535	463	1493	1278	1425	1330	1049
307	400	351	1033	552	838	1532	1600	1103	1859
258	1056	871	984	961	470	2061	1493	3085	804
566	826	577	480	1165	646	834	2293	1641	825
254	240	676	1859	500	555	931	2716	2359	1535
323	442	714	700	1457	818	1998	421	898	2571
761	394	663	479	1100	1310	1600	1562	998	3580
1672	100	219	1930	728	974	2197	4280	1066	1952
211	419	807	611	644	852	1346	1919	1084	0
483	425	1670	807	821	2275	318	1120	1345	1625
339	233	0	1288	1439	508	838	1381	1167	1683
219	577	632	448	842	1126	4735	1991	1615	1128
238	1174	208	439	429	453	3121	1243	1015	2224
196	214	945	0	2280	1653	468	633	555	1232
760	1410	323	926	209	2453	1820	4799	4725	1236
635	995	642	967	1273	1207	944	835	6198	3592
510	428	112	901	1721	706	2345	514	1689	2019
525	223	689	318	1734	2991	5693	1716	1620	830
231	315	687	723	805	639	1576	313	2229	1340
288	1415	439	975	747	511	746	1355	437	2626
602	232	853	1179	364	1772	1304	1114	1465	2535
217	478	965	1763	465	1748	607	2684	662	1298
864	315	215	653	1037	769	1185	1430	1645	641
330	774	105	435	1466	688	1560	2764	2767	1696
197	339	1027	1139	799	1309	1362	2007	828	1635
661	544	586	1998	867	860	4097	596	1424	1230
109	757	1474	653	737	1312	212	642	1444	2220
299	1122	639	894	1070	1192	846	1042	3298	1049
359	881	336	517	1318	1200	1348	1345	2203	3630
205	793	326	328	419	1863	1313	1578	1135	901
635	537	1339	1333	879	724	684	1223	2325	1752
408	721	424	1018	1191	1728	1115	463	1914	2022
551	390	1079	1092	1147	2092	1257	368	823	1544
815	227	107	702	854	713	252	1944	908	2210
720	228	1486	1471	1141	1278	1534	1139	820	642
306	860	1376	223	441	1069	1685	925	1094	2109
104	561	901	352	1353	930	1038	1136	1785	1657
196	567	485	1309	969	451	740	1118	2031	1658
570	363	742	878	907	1261	866	523	2310	5430
832	734	0	1390	1210	903	1450	1123	947	2137
194	566	477	2982	1547	827	1572	591	1368	1508
373	126	1127	886	531	2332	993	1590	1064	1527
451	413	575	1194	249	1246	1656	1219	1161	1815
222	1404	614	715	1299	1217	860	1809	1677	1694
