1 Sq Mi	2 Sq Mi	3 Sq Mi	4 Sq Mi	5 Sq Mi	6 Sq Mi	7 Sq Mi	8 Sq Mi	9 Sq Mi	10 Sq Mi
0	0	0	150	4	129	33	6	38	4
0	61	0	3	151	26	0	4	10	350
1	3	14	27	5	6	2	107	9	0
1	79	60	0	0	3	67	9	0	103
0	0	0	1	0	11	4	62	133	132
4	58	0	29	22	0	8	0	15	2
0	0	0	21	0	411	21	2	205	6
0	1	1	0	0	84	5	0	2	25
14	0	4	1	4	154	18	3	237	7
0	13	38	0	1	0	1	1	1	62
0	70	0	2	0	1	379	18	1	119
0	2	0	1	0	53	147	0	226	206
0	0	0	92	0	2	0	113	0	1
0	3	0	100	0	0	1	43	12	66
31	0	59	0	10	213	4	1	0	0
1	11	2	2	1	1	0	2	0	5
0	2	69	2	0	0	0	80	3	173
0	0	1	0	1	1	3	80	174	128
1	2	54	152	66	0	77	132	7	211
0	1	1	49	0	1	6	60	5	116
0	0	28	0	111	0	0	0	6	526
0	1	0	1	0	2	0	1	1	48
0	1	0	1	20	59	32	2	1	3
0	0	0	0	0	2	7	90	5	133
0	1	1	0	8	2	1	20	0	1
2	0	0	2	134	0	0	21	34	1
3	2	0	0	59	5	1	0	0	89
0	0	3	0	0	26	1	0	1	82
1	65	0	0	0	1	0	0	98	1
1	2	2	1	1	4	0	141	32	2
16	2	0	47	0	0	2	0	152	24
0	0	0	0	0	1	5	13	0	128
0	0	0	0	41	2	3	14	5	1
1	0	2	2	4	4	3	169	41	0
0	3	0	0	23	104	2	13	1	345
8	0	0	0	1	0	0	4	54	0
2	0	0	90	30	3	21	35	9	1
20	0	3	128	164	3	2	74	4	3
0	0	2	30	5	0	2	136	60	109
0	32	0	35	1	2	69	0	15	0
1	87	4	0	3	14	1	9	93	3
30	0	1	0	1	31	0	4	138	189
0	0	1	2	14	1	2	96	2	89
0	1	83	0	595	0	0	1	0	140
0	1	0	0	2	30	148	2	1	8
1	2	0	1	266	211	1	101	140	358
3	1	0	1	0	10	0	1	0	1
0	1	1	117	66	0	56	0	1	184
0	0	2	3	4	0	6	1	0	127
2	1	1	4	1	2	1	0	11	0
0	0	253	8	1	0	2	9	49	0
1	2	0	2	0	0	8	33	44	13
0	0	1	35	162	0	1	91	3	3
0	2	2	1	3	0	16	1	16	8
23	0	1	30	0	2	0	0	2	6
0	0	3	0	2	214	1	197	0	0
0	1	0	0	1	1	130	2	171	2
4	0	103	0	0	150	2	0	194	157
0	4	3	5	2	17	0	7	0	0
26	1	77	0	0	38	91	5	8	6
0	0	70	36	2	2	1	85	1	60
0	0	2	0	0	149	1	5	104	46
0	2	0	1	3	1	0	3	5	2
1	0	0	0	12	1	1	0	4	0
0	11	1	6	83	71	0	77	1	53
1	0	2	13	8	1	0	3	1	1
0	0	28	5	3	17	0	1	1	4
1	0	103	120	0	140	0	0	2	3
0	0	0	0	0	1	5	3	56	30
5	0	0	2	50	80	114	0	1	1
0	0	1	0	3	488	74	2	0	0
1	0	1	1	58	4	0	0	61	1
0	0	0	89	12	0	2	8	359	0
1	0	69	0	2	20	1	0	83	205
0	1	119	5	0	0	0	0	12	17
0	0	1	0	0	0	2	80	0	9
4	13	0	2	111	68	1	1	161	1
1	2	0	6	4	6	101	4	7	145
0	0	0	0	0	0	16	2	20	3
0	0	3	0	2	4	11	2	345	84
0	0	0	0	102	0	2	83	2	1
0	51	42	1	1	0	0	1	8	10
1	0	0	1	1	0	3	46	110	54
0	39	12	2	1	0	7	155	4	2
0	0	0	62	16	2	157	169	10	1
0	1	0	0	11	2	0	6	4	24
0	3	64	1	23	0	3	8	2	2
0	0	61	1	5	56	2	4	0	0
